chr_name,Wochenende,Centrifuge,Metaphlan,KrakenUniq
P. aeruginosa,16.38157013,20.37741422,4.822576472,7.555
S. enterica,11.28703559,13.63420752,9.119671394,8.177
E. coli,12.41362857,7.020181948,10.00081324,1.443
L. fermentum,5.066729137,9.086980696,12.47240168,6.554
E. faecalis,11.0009327,5.777886579,10.05233012,7.779
S. aureus,11.6698716,19.46246225,13.11334674,9.768
L. monocytogenes,15.59537968,20.86452435,8.68697316,8.52
B. subtilis,0,0.689593655,0,0.2663
C. neoformans,0.162516958,0.071577875,0.092254059,0
S. cerevisiae,0.525402729,1.886991797,0.345814571,1.247
