name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
root	1	no rank	0	98866	97463	0.0
Bacteria	2	superkingdom	0	2415	347	0.0
Azorhizobium caulinodans	7	species	35321	1	0	0.0
Shewanella	22	genus	0	125	0	0.0
Shewanella putrefaciens	24	species	347065	9	0	0
Cystobacter fuscus	43	species	12499660	11	11	0.0
Lysobacter enzymogenes	69	species	12580679	23	10	0.0
Isosphaera pallida	128	species	3093	1	0	0.0
Borrelia turicatae	142	species	1419778	1	0	0.0
Spirochaeta thermophila	154	species	3895	1	0	0.0
Brachyspira hyodysenteriae	159	species	3412921	146	0	9.55478e-21
Azospirillum brasilense	192	species	14768781	15	4	0.0
Azospirillum lipoferum	193	species	155226	2	0	0.0
Campylobacter jejuni	197	species	149104840	260	0	0
Campylobacter concisus	199	species	2313426	1	1	0.0
Campylobacter sputorum	206	species	1719642	2	0	0.0
Helicobacter pylori	210	species	125372322	3	3	0.0
Helicobacter felis	214	species	207218	1	1	0.0
Achromobacter	222	genus	0	1406	0	0.0
Alteromonas	226	genus	2057	1	0	0.0
Pseudoalteromonas haloplanktis	228	species	84368	1	1	0.0
Brucella	234	genus	0	5	0	0.0
Elizabethkingia meningoseptica	238	species	11983870	2	0	0.0
Planomicrobium okeanokoites	244	species	83780	1	0	0.0
Chryseobacterium indologenes	253	species	15493344	1	1	0.0
Francisella tularensis	263	species	5779638	4	3	0.0
Comamonas	283	genus	0	50	0	0.0
Comamonas testosteroni	285	species	979275	249	0	0
Pseudomonas	286	genus	3949	7853	368	0
Pseudomonas aeruginosa	287	species	649285640	2952610	1028011	3.32354e-06
Pseudoalteromonas atlantica	288	species	3723676	2	0	0.0
Burkholderia cepacia	292	species	48530198	16211	111	0
Brevundimonas diminuta	293	species	3739908	6	6	0.0
Pseudomonas fluorescens	294	species	109413009	12964	965	0
Pseudomonas fragi	296	species	20915684	124	0	0
Pseudomonas mendocina	300	species	5603789	170	66	0
Pseudomonas putida	303	species	75633305	5788	148	7.45321e-10
Ralstonia solanacearum	305	species	135542539	48	37	0.0
Pseudomonas sp.	306	species	5185727	187	1	4.00423e-21
Pseudomonas stutzeri	316	species	26332943	405	17	0
Pseudomonas syringae	317	species	13963156	7	0	0.0
Pseudomonas syringae pv. syringae	321	leaf	13544033	19	3	0.0
Ralstonia pickettii	329	species	5820311	69	1	0.0
Pseudomonas pseudoalcaligenes	330	species	5110416	387	0	5.62906e-178
Xanthomonas	338	genus	0	72	0	0.0
Xanthomonas campestris	339	species	5748741	168	112	6.61845e-10
Xanthomonas campestris pv. campestris	340	leaf	25575595	1	0	0.0
Xanthomonas citri	346	species	160527	652	0	1.27898e-08
Xanthomonas oryzae	347	species	180828	2	1	0.0
Azotobacter	352	genus	0	1	0	0.0
Azotobacter chroococcum	353	species	5286988	128	32	1.99278e-09
Azotobacter vinelandii	354	species	432334	92	0	2.78384e-08
Rhizobiales	356	order	2751	10	0	5.72275e-136
Agrobacterium tumefaciens	358	species	14810155	13	0	0.0
Agrobacterium rhizogenes	359	species	5919489	4	4	0.0
Bradyrhizobium	374	genus	0	8	0	0.0
Bradyrhizobium japonicum	375	species	21849638	2	0	0.0
Bradyrhizobium sp.	376	species	18265399	3	2	0.0
Rhizobium	379	genus	0	2	0	0.0
Mesorhizobium loti	381	species	8952411	12	12	0.0
Sinorhizobium meliloti	382	species	99677973	18	14	0.0
Rhizobium leguminosarum	384	species	26282616	2	1	0.0
Rhizobium leguminosarum bv. viciae	387	leaf	16367791	2	2	0.0
Sinorhizobium fredii NGR234	394	leaf	7630832	5	0	0.0
Rhizobium phaseoli	396	species	87953609	3	0	0.0
Methylobacterium	407	genus	0	4	0	0.0
Methylobacterium extorquens	408	species	11509689	20	12	0.0
Acetobacteraceae	433	family	0	1	0	0.0
Acetobacter	434	genus	0	1	0	0.0
Gluconobacter oxydans	442	species	3882056	2	0	0.0
Legionella pneumophila	446	species	157586004	4	3	0.0
Moraxellaceae	468	family	0	3	0	0.0
Acinetobacter	469	genus	0	1	0	0.0
Acinetobacter baumannii	470	species	313167375	73	7	6.57304e-12
Acinetobacter calcoaceticus	471	species	9333487	6	2	0.0
Moraxella catarrhalis	480	species	6411731	39	0	0
Neisseria lactamica	486	species	2506977	2	0	0.0
Neisseria sicca	490	species	2872703	11	11	7.13786e-10
Psychrobacter	497	genus	0	1	0	0.0
Alcaligenaceae	506	family	0	105	0	0.0
Alcaligenes	507	genus	974	10	0	0.0
Alcaligenes faecalis	511	species	21910726	54	19	0.0
Bordetella	517	genus	0	87	0	0.0
Bordetella bronchiseptica	518	species	21481258	4	2	0.0
Bordetella parapertussis	519	species	14480103	2	0	0.0
Bordetella pertussis	520	species	1418267903	11	0	0.0
Ochrobactrum	528	genus	0	29	0	0.0
Ochrobactrum anthropi	529	species	10606830	474	342	0
Chromobacterium violaceum	536	species	8965655	46	0	0.0
Eikenella corrodens	539	species	2278234	2	1	0.0
Zymomonas mobilis	542	species	157405	1	0	0.0
Enterobacteriaceae	543	family	0	5189	361	0.0
Citrobacter	544	genus	0	248	18	0.0
Citrobacter koseri	545	species	19772203	1432	694	0
Citrobacter freundii	546	species	74678829	2340	179	0
Enterobacter	547	genus	0	787	10	0.0
Klebsiella aerogenes	548	species	33324538	949	1	1.51945e-47
Pantoea agglomerans	549	species	7015676	43	34	0
Enterobacter cloacae	550	species	133653024	2170	71	0
Erwinia	551	genus	0	48	0	0.0
Erwinia amylovora	552	species	4921313	7	0	0.0
Pantoea ananatis	553	species	10745081	12	2	0.0
Pectobacterium carotovorum	554	species	5895750	8	1	0.0
Escherichia	561	genus	1447	441	0	0
Escherichia coli	562	species	2121171128	1081995	354158	4.28759e-07
Escherichia fergusonii	564	species	316543	90	1	0
Hafnia	568	genus	0	4	0	0.0
Hafnia alvei	569	species	5298449	3	2	0.0
Klebsiella	570	genus	0	902	0	0.0
Klebsiella oxytoca	571	species	69515717	1505	157	0
Klebsiella pneumoniae	573	species	987333407	5739	62	0
Raoultella planticola	575	species	23633898	355	5	4.43526e-40
Klebsiella sp.	576	species	260304	1	0	0
Raoultella terrigena	577	species	145653	2	0	1.59198e-06
Kluyvera	579	genus	0	1	0	0.0
Morganella	581	genus	0	18	0	0.0
Morganella morganii	582	species	12665069	496	202	0
Proteus	583	genus	0	19	0	0.0
Proteus mirabilis	584	species	55580541	1125	38	3.77501e-11
Proteus vulgaris	585	species	4758789	94184	5	0
Providencia	586	genus	0	18	0	0.0
Providencia rettgeri	587	species	6171368	2	0	0.0
Providencia stuartii	588	species	9658369	6	3	0.0
Salmonella	590	genus	202	315	0	0.56033
Salmonella enterica subsp. enterica serovar Gallinarum	594	leaf	278889	10	0	0
Salmonella enterica subsp. enterica serovar Infantis	595	leaf	30130348	667	113	6.12461e-10
Salmonella sp.	599	species	113985	26	0	0
Salmonella enterica subsp. enterica serovar Thompson	600	leaf	14171602	425	117	0
Salmonella enterica subsp. enterica serovar Pullorum	605	leaf	4774683	236	1	0
Salmonella enterica subsp. enterica serovar Heidelberg	611	leaf	98290956	104	2	2.09065e-11
Serratia	613	genus	0	1074	1	0.0
Serratia liquefaciens	614	species	10933088	6	0	0
Serratia marcescens	615	species	121198872	250	9	1.69217e-11
Shigella	620	genus	0	2047	0	0.0
Shigella boydii	621	species	5719806	49286	60	9.92336e-06
Shigella dysenteriae	622	species	5649731	33603	39	5.53907e-06
Shigella flexneri	623	species	15750417	65205	931	0
Shigella sonnei	624	species	37267186	61168	573	9.59557e-07
Xenorhabdus	626	genus	0	1	0	0.0
Yersinia	629	genus	0	414	0	0.0
Yersinia enterocolitica	630	species	58603510	38	4	0
Yersinia intermedia	631	species	5005163	2	0	0.0
Yersinia pestis	632	species	53946553	106	0	0
Yersinia pseudotuberculosis	633	species	25578491	265	0	0
Edwardsiella	635	genus	0	40	2	0.0
Edwardsiella tarda	636	species	12100663	407	90	3.43261e-107
Arsenophonus nasoniae	638	species	3587812	9	8	0.0
Vibrionaceae	641	family	0	2	0	0.0
Aeromonas	642	genus	0	81	1	0.0
Aeromonas hydrophila	644	species	34510418	63	1	0
Aeromonas salmonicida	645	species	20921536	1579	0	1.4195e-07
Aeromonas sobria	646	species	544803	1	0	0.0
Aeromonas caviae	648	species	10429117	5	0	0
Aeromonas schubertii	652	species	4510040	4	0	0.0
Aeromonas veronii	654	species	25886795	5	1	0.0
Vibrio	662	genus	0	5	1	0.0
Vibrio alginolyticus	663	species	69477161	38	34	0.0
Vibrio cholerae	666	species	99004820	1990	2	3.23564e-123
Aliivibrio fischeri	668	species	1006834	1	0	0.0
Vibrio harveyi	669	species	25925674	29	0	0
Vibrio parahaemolyticus	670	species	94153100	3	1	0
Vibrio vulnificus	672	species	54369985	5	3	0.0
Grimontia hollisae	673	species	4056972	2	2	0.0
Vibrio sp.	678	species	837669	1	0	0
Vibrio gazogenes	687	species	4802522	1	1	0.0
Plesiomonas	702	genus	0	80	0	0.0
Plesiomonas shigelloides	703	species	3639337	231	0	7.21817e-51
Pasteurellaceae	712	family	0	1	0	0.0
Actinobacillus	713	genus	0	3	0	0.0
Aggregatibacter actinomycetemcomitans	714	species	7596631	1	0	0.0
Actinobacillus pleuropneumoniae	715	species	4316308	2	1	4.75048e-10
Haemophilus influenzae	727	species	14653293	2	0	0.0
[Haemophilus] ducreyi	730	species	43457766	1	1	0.0
Histophilus somni	731	species	15337191	1	1	0.0
Glaesserella parasuis	738	species	10933924	28	0	0.0
Pasteurella multocida	747	species	65742796	359	0	0
Gallibacterium anatis	750	species	423481	1	0	0.0
Bartonellaceae	772	family	0	1	0	0.0
Bartonella	773	genus	0	1	0	0.0
Rickettsia typhi	785	species	56211	19	0	0
Bacteroidaceae	815	family	0	1	0	0.0
Bacteroides fragilis	817	species	21690174	1	1	0.0
Bacteroides vulgatus	821	species	5236937	2	2	7.83067e-10
Wolinella succinogenes	844	species	2211172	10	6	0.0
Fusobacterium periodonticum	860	species	21583990	7	3	0.0
Desulfococcus multivorans	897	species	9019193	2	0	0.0
Acidaminococcus fermentans	905	species	17350	1	0	0.0
Thiomonas intermedia	926	species	3349174	4	0	0.0
Halothiobacillus neapolitanus	927	species	29508	1	0	0.0
Ehrlichia chaffeensis	945	species	275838	1	0	0.0
Anaplasma phagocytophilum	948	species	3009808	1	0	0.0
Bdellovibrio	958	genus	0	1	0	0.0
Herbaspirillum seropedicae	964	species	11242081	23	1	0.0
Capnocytophaga gingivalis	1017	species	2940829	2	2	6.97249e-10
Beggiatoa	1021	genus	0	1	0	0.0
Chromatiaceae	1046	family	0	1	0	0.0
Rhodopseudomonas palustris	1076	species	314703	2	0	0.0
Blastochloris viridis	1079	species	11229689	1	0	0.0
Chloroflexus	1107	genus	0	1	0	0.0
Porphyrobacter neustonensis	1112	species	3098342	2	2	0.0
Cyanobacteria	1117	phylum	0	1	0	0.0
Nostocales	1161	order	0	1	0	0.0
Proteobacteria	1224	phylum	7944	170	0	2.7447e-05
Nitrosococcus	1227	genus	0	1	0	0.0
Gammaproteobacteria	1236	class	0	3181	0	0.0
Piscirickettsia salmonis	1238	species	62217295	1	0	0.0
Firmicutes	1239	phylum	0	4	0	0.0
Leuconostoc	1243	genus	0	6	0	0.0
Leuconostoc gelidum	1244	species	46445	20	0	0
Leuconostoc mesenteroides	1245	species	5792827	573	0	0
Leuconostoc lactis	1246	species	2454237	37	0	3.23289e-238
Oenococcus oeni	1247	species	660177	579	1	0
Weissella paramesenteroides	1249	species	2211189	254	5	0
Leuconostoc carnosum	1252	species	71692	14	0	0.0
Pediococcus	1253	genus	0	117	1	0.0
Pediococcus acidilactici	1254	species	11254561	583	29	1.82332e-10
Pediococcus pentosaceus	1255	species	6871578	863	1	0
Micrococcaceae	1268	family	0	4	0	0.0
Micrococcus luteus	1270	species	3497917	5	0	0.0
Dermacoccus nishinomiyaensis	1274	species	3129583	6	4	0.0
Staphylococcus	1279	genus	0	4337	719	0.0
Staphylococcus aureus	1280	species	404374436	1659897	981853	5.19368e-06
Staphylococcus carnosus	1281	species	2843256	144	12	1.01855e-59
Staphylococcus epidermidis	1282	species	30531370	4130	63	4.05508e-10
Staphylococcus haemolyticus	1283	species	11784524	681	12	0
Staphylococcus hyicus	1284	species	2619921	3853	1028	1.51006e-76
Staphylococcus intermedius	1285	species	59019	119	0	1.42242e-126
Staphylococcus simulans	1286	species	5684832	503	25	0
Staphylococcus simulans bv. staphylolyticus	1287	leaf	132546	21	14	0.0
Staphylococcus xylosus	1288	species	12340835	983	0	0
Staphylococcus hominis	1290	species	543750	5	0	0
Staphylococcus warneri	1292	species	712644	359	0	7.96453e-09
Staphylococcus gallinarum	1293	species	115274	1	0	0
Staphylococcus muscae	1294	species	2105740	10	3	9.73871e-10
Staphylococcus schleiferi	1295	species	12537849	1007	2	0
Staphylococcus sciuri	1296	species	6662916	78268	6	0
Streptococcaceae	1300	family	0	3	0	0.0
Streptococcus	1301	genus	741	1054	1	0
Streptococcus gordonii	1302	species	7198940	1	1	0.0
Streptococcus oralis	1303	species	5120504	3	3	0.0
Streptococcus salivarius	1304	species	12062618	1	0	0.0
Streptococcus suis	1307	species	43644469	4059	3231	2.40654e-09
Streptococcus thermophilus	1308	species	30279008	33	0	6.77162e-11
Streptococcus mutans	1309	species	7112361	2	0	0
Streptococcus agalactiae	1311	species	169510135	1600	392	2.90689e-10
Streptococcus pneumoniae	1313	species	56341323	3	2	0.0
Streptococcus pyogenes	1314	species	75630611	62	4	0
Blautia hansenii	1322	species	3143	1	0	0.0
Streptococcus acidominimus	1326	species	2345011	2	2	0.0
Streptococcus anginosus	1328	species	7080080	11	4	0.0
Streptococcus dysgalactiae	1334	species	164016	135	0	0
Streptococcus equinus	1335	species	2783018	223	11	1.48001e-09
Streptococcus parauberis	1348	species	2428716	6	0	0.0
Enterococcus	1350	genus	0	547	106	0.0
Enterococcus faecalis	1351	species	42307276	988417	291486	2.71046e-05
Enterococcus faecium	1352	species	147013641	1001	23	0
Enterococcus gallinarum	1353	species	330313	62	0	0
Enterococcus hirae	1354	species	3862679	8	0	0
Lactococcus	1357	genus	0	1	0	0.0
Lactococcus lactis	1358	species	5391226	148	16	0
Lactococcus lactis subsp. cremoris	1359	subspecies	16061848	5	4	0
Lactococcus lactis subsp. lactis	1360	subspecies	40268153	29	0	0.0
Lactococcus garvieae	1363	species	3136001	23	0	0
Lactococcus piscium	1364	species	51175	1	0	0.0
Lactococcus raffinolactis	1366	species	2391439	1	0	0.0
Planococcus	1372	genus	0	1	0	0.0
Aerococcus	1375	genus	0	1	0	0.0
Aerococcus viridans	1377	species	2348937	6	0	0.0
Bacillales	1385	order	0	2233	0	0.0
Bacillus	1386	genus	0	14271	12011	0.0
Bacillus amyloliquefaciens	1390	species	46961634	627	16	0
Bacillus anthracis	1392	species	228088130	21	7	8.98938e-12
Bacillus cereus	1396	species	187737805	94	8	0.0
Bacillus circulans	1397	species	609150	1	0	0.0
Bacillus coagulans	1398	species	14819544	2	0	0.0
Bacillus firmus	1399	species	912541	2	0	0.0
Bacillus licheniformis	1402	species	53644273	2377	9	0
Bacillus megaterium	1404	species	15564281	83	0	0
Bacillus mycoides	1405	species	24172996	17	7	8.48219e-11
Paenibacillus polymyxa	1406	species	42153312	18	2	0
Bacillus pumilus	1408	species	57413649	221	6	1.44583e-10
Bacillus sp. (in: Bacteria)	1409	species	10067845	1663	10	1.36272e-09
Lysinibacillus sphaericus	1421	species	18931200	48	6	0
Geobacillus stearothermophilus	1422	species	5135137	454	0	0
Bacillus subtilis	1423	species	154184349	1416360	34789	4.32653e-07
Parageobacillus thermoglucosidasius	1426	species	11901798	6	0	0
Bacillus thuringiensis	1428	species	132939797	53	6	0
Bacillus thuringiensis serovar israelensis	1430	leaf	7252454	1	0	0.0
Bacillus thuringiensis serovar morrisoni	1441	leaf	6235699	7	4	0.0
Bacillus sp. Q	1447	species	3401	1	0	0.0
Amphibacillus xylanus	1449	species	16588	1	0	0.0
Bacillus atrophaeus	1452	species	17449861	610	23	3.07848e-170
Sporosarcina globispora	1459	species	68800	1	0	0
Paenibacillus larvae	1464	species	179738	1	0	0.0
Bacillus simplex	1478	species	6452426	14	7	0
Bacillus smithii	1479	species	3415597	1	1	0.0
Virgibacillus halodenitrificans	1482	species	4035653	2	1	0.0
Clostridium	1485	genus	0	2	0	0.0
Clostridium botulinum	1491	species	105616153	20	10	0.0
Clostridium butyricum	1492	species	23238628	1	0	0.0
Clostridium cochlearium	1494	species	2446365	2	0	0.0
Clostridioides difficile	1496	species	65230978	26	1	0
Clostridium formicaceticum	1497	species	9179794	2	0	0.0
Hathewaya histolytica	1498	species	45829	3	0	0.0
Clostridium pasteurianum	1501	species	4438618	1	0	0.0
Clostridium perfringens	1502	species	35422987	17	3	0.0
Paeniclostridium sordellii	1505	species	11312170	3	0	0.0
Clostridium sporogenes	1509	species	8445848	12	0	0.0
[Clostridium] stercorarium	1510	species	73343	2	0	0.0
Thermoanaerobacterium thermosaccharolyticum	1517	species	2960706	1	1	0.0
Clostridium tyrobutyricum	1519	species	6375324	3	1	0.0
Clostridium beijerinckii	1520	species	19238081	5	0	0.0
Moorella thermoacetica	1525	species	10770097	1	0	0.0
Blautia coccoides	1532	species	5138878	1	0	0.0
Clostridium kluyveri	1534	species	4527332	1	0	0.0
Clostridium baratii	1561	species	3282379	2	2	0.0
Desulfosporosinus orientis	1563	species	5098	1	0	0.0
Sporosarcina	1569	genus	0	2	0	0.0
Halobacillus halophilus	1570	species	4198957	2	0	0.0
Lactobacillus	1578	genus	0	3763	1272	0.0
Lactobacillus acidophilus	1579	species	6350709	12	0	0.0
Lactobacillus brevis	1580	species	25675808	4469	872	4.6409e-09
Lactobacillus casei	1582	species	9310294	787	0	0
Weissella confusa	1583	species	534809	1	0	0.0
Lactobacillus delbrueckii	1584	species	551294	453	3	0
