species	SRR11207337_metagenome_mock_dna_R1
1_AE004091_2_Pseudomonas_aeruginosa_PAO1__complete_genome_BAC	40442.05
1_CP011051_1_Bacillus_intestinalis_strain_T30__complete_genome_BAC	36549.82
1_U00096_3_Escherichia_coli_str__K_12_substr__MG1655__complete_genome_BAC	30685.9
1_AE006468_2_Salmonella_enterica_subsp__enterica_serovar_Typhimurium_str__LT2__complete_genome_BAC	27902.16
1_AE017262_2_Listeria_monocytogenes_str__4b_F2365__complete_genome_BAC	38551.22
1_AE016830_1_Enterococcus_faecalis_V583_chromosome__complete_genome_BAC	27195.19
1_AJ938182_1_Staphylococcus_aureus_RF122_complete_genome_BAC	28847.42
1_AP008937_1_Lactobacillus_fermentum_IFO_3956_DNA__complete_genome_BAC	12524.93
1_CP014787_1_Lactobacillus_oris_strain_J_1_chromosome__complete_genome_BAC	463.24
1_CP010359_1_Pseudomonas_plecoglossicida_strain_NyZ12__complete_genome_BAC	214.86
CP003828.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1186808__reverse_complement_	866.5
CP003822.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1575141__reverse_complement_	631.05
CP003821.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1621675__reverse_complement_	595.25
CP011563.1_Saccharomyces_cerevisiae_strain_ySR127_mitochondrion__complete_sequence	10777.86
CP003824.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1814975__reverse_complement_	483.97
CP003831.1____Cryptococcus_neoformans_var._grubii_H99___1_to_774062__reverse_complement_	930.63
CP003830.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1561994__reverse_complement_	448.94
CP003825.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1422463__reverse_complement_	464.33
1_FR821777_2_Staphylococcus_argenteus_MSHR1132_complete_genome_sequence_BAC	231.44
CP003827.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1398693__reverse_complement_	455.77
1_CU928158_2_Escherichia_fergusonii_ATCC_35469_chromosome__complete_genome_BAC	103.94
CP003826.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1399503__reverse_complement_	289.01
CP003834.1____Cryptococcus_neoformans_var._grubii_H99___1_to_24919__reverse_complement_	14974.69
1_CP007025_1_Escherichia_albertii_KF1__complete_genome_BAC	77.03
1_FR877557_1_Salmonella_bongori_NCTC_12419__culture_collection_SGSC_SARC11__complete_genome_BAC	72.38
1_CP007557_1_Citrobacter_freundii_CFNIH1__complete_genome_BAC	63.07
1_AL592022_1_Listeria_innocua_Clip11262_complete_genome_BAC	103.25
1_CP025979_1_Escherichia_marmotae_strain_HT073016_chromosome__complete_genome_BAC	52.22
1_CP000416_1_Lactobacillus_brevis_ATCC_367__complete_genome_BAC	78.65
1_CP000783_1_Cronobacter_sakazakii_ATCC_BAA_894__complete_genome_BAC	40.9
CP003832.1____Cryptococcus_neoformans_var._grubii_H99___1_to_756744__reverse_complement_	202.22
1_CP014158_1_Pseudomonas_citronellolis_strain_P3B5__complete_genome_BAC	21.3
1_AP009484_1_Macrococcus_caseolyticus_JCSC5402_DNA__complete_genome_BAC	37.71
1_FN543502_1_Citrobacter_rodentium_ICC168__complete_genome_BAC	13.35
CP003820.1____Cryptococcus_neoformans_var._grubii_H99___1_to_2291499__reverse_complement_	30.49
1_HG916765_1_Castellaniella_defragrans_65Phen_complete_genome_BAC	17.01
1_CP022114_1_Kluyvera_georgiana_strain_YDC799_chromosome__complete_genome_BAC	13.4
1_CP006704_1_Comamonas_testosteroni_TK102__complete_genome_BAC	8.05
1_CP012873_1_Weissella_cibaria_strain_CH2__complete_genome_BAC	16.46
1_CP025712_1_Escherichia_phage_YDC107_1_chromosome__complete_genome_BAC	810.28
1_AM263198_1_Listeria_welshimeri_serovar_6b_str__SLCC5334_complete_genome_BAC	12.91
1_AP018335_1_Ureibacillus_thermosphaericus_DNA__complete_geonome__strain__A1_BAC	10.09
1_CP020618_1_Staphylococcus_hominis_subsp__hominis_strain_K1_chromosome__complete_genome_BAC	15.26
1_CP013614_1_Enterococcus_silesiacus_strain_LMG_23085__complete_genome_BAC	8.5
1_CP019597_1_Staphylococcus_cohnii_strain_SNUDS_2_chromosome__complete_genome_BAC	12.49
BK006939.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_V__complete_sequence	52.38
CP003823.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1084805__reverse_complement_	27.09
1_CP002439_1_Staphylococcus_pseudintermedius_HKU10_03__complete_genome_BAC	10.22
CP003829.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1059964__reverse_complement_	25.24
