species	SRR11207337_metagenome_mock_dna_R1
1_AE004091_2_Pseudomonas_aeruginosa_PAO1__BAC	249997.75
1_CP011051_1_Bacillus_intestinalis_strain_T30__BAC	145226.62
1_U00096_3_Escherichia_coli_str__K_12_substr__MG1655__BAC	140369.29
1_AE006468_2_Salmonella_enterica_subsp__enterica_serovar_Typhimurium_str__LT2__BAC	133563.89
1_AE017262_2_Listeria_monocytogenes_str__4b_F2365__BAC	110375.04
1_AE016830_1_Enterococcus_faecalis_V583_chromosome__BAC	86242.34
1_AJ938182_1_Staphylococcus_aureus_RF122_BAC	77968.38
1_AP008937_1_Lactobacillus_fermentum_IFO_3956_DNA__BAC	25904.53
CP011550.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_IV__complete_sequence	1952.71
1_CP014787_1_Lactobacillus_oris_strain_J_1_chromosome__BAC	1447.66
CP011553.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_VII__complete_sequence	1404.08
CP011561.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XV__complete_sequence	1397.25
CP011558.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XII__complete_sequence	1358.73
CP011562.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XVI__complete_sequence	1230.73
CP011559.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XIII__complete_sequence	1202.31
CP011557.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XI__complete_sequence	1151.22
CP011548.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_II__complete_sequence	1081.14
CP003828.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1186808_reverse_complement_	1023.08
CP003822.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1575141_reverse_complement_	992.48
CP011560.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XIV__complete_sequence	991.11
CP003821.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1621675_reverse_complement_	961.33
CP011556.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_X__complete_sequence	950.4
CP003824.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1814975_reverse_complement_	888.11
CP003831.1_Cryptococcus_neoformans_var._grubii_H99_1_to_774062_reverse_complement_	747.4
CP011551.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_V__complete_sequence	710.51
CP003830.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1561994_reverse_complement_	706.69
CP011554.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_VIII__complete_sequence	700.95
CP003825.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1422463_reverse_complement_	656.0
CP003827.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1398693_reverse_complement_	637.15
CP011555.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_IX__complete_sequence	543.98
CP011549.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_III__complete_sequence	379.5
CP011552.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_VI__complete_sequence	305.73
CP011547.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_I__complete_sequence	228.14
1_CP025712_1_Escherichia_phage_YDC107_1_chromosome__BAC	37.57
