species,chr_length,read_count,gc_ref,reads_per_million_ref_bases,reads_per_million_reads_in_experiment,RPMM,bacteria_per_human_cell
1_1_1_10,133797422,5,41.53751,0.03737,0.60168,0.00450,0.96808
1_1_1_11,135086622,3,41.52663,0.02221,0.36101,0.00267,0.57531
1_1_1_12,133275309,1,40.75789,0.00750,0.12034,0.00090,0.19438
1_1_1_13,114364328,2,38.54485,0.01749,0.24067,0.00210,0.45303
1_1_1_14,107043718,5,40.82884,0.04671,0.60168,0.00562,1.21004
1_1_1_15,101991189,1,42.02830,0.00980,0.12034,0.00118,0.25400
1_1_1_16,90338345,5,44.58132,0.05535,0.60168,0.00666,1.43380
1_1_1_17,83257441,3,45.30630,0.03603,0.36101,0.00434,0.93344
1_1_1_18,80373285,0,39.76964,0.00000,0.00000,0.00000,0.00000
1_1_1_19,58617616,31,47.93585,0.52885,3.73040,0.06364,13.70010
1_1_1_1,248956422,25,41.72050,0.10042,3.00839,0.01208,2.60140
1_1_1_20,64444167,0,43.79825,0.00000,0.00000,0.00000,0.00000
1_1_1_21,46709983,2,40.92864,0.04282,0.24067,0.00515,1.10920
1_1_1_22,50818468,5,46.99934,0.09839,0.60168,0.01184,2.54882
1_1_1_2,242193529,11,40.22359,0.04542,1.32369,0.00547,1.17658
1_1_1_3,198295559,10,39.66121,0.05043,1.20336,0.00607,1.30640
1_1_1_4,190214555,4,38.24011,0.02103,0.48134,0.00253,0.54476
1_1_1_5,181538259,8,39.50169,0.04407,0.96269,0.00530,1.14160
1_1_1_6,170805979,57,39.59925,0.33371,6.85913,0.04016,8.64494
1_1_1_7,159345973,40,40.69323,0.25103,4.81343,0.03021,6.50293
1_1_1_8,145138636,17,40.15246,0.11713,2.04571,0.01409,3.03428
1_1_1_9,138394717,3,41.27240,0.02168,0.36101,0.00261,0.56155
1_1_1_MT,16569,0,44.39004,0.00000,0.00000,0.00000,0.00000
1_1_1_X,156040895,1,39.50993,0.00641,0.12034,0.00077,0.16602
1_1_1_Y,57227415,0,39.18185,0.00000,0.00000,0.00000,0.00000
NC_006273.2_Human_herpesvirus_5_strain_Merlin__complete_genome,235646,0,57.48423,0.00000,0.00000,0.00000,0.00000
NC_001664.4_Human_betaherpesvirus_6A__variant_A_DNA__complete_virion_genome__isolate_U1102,159378,0,42.42759,0.00000,0.00000,0.00000,0.00000
NC_000898.1_Human_herpesvirus_6B__complete_genome,162114,0,42.76491,0.00000,0.00000,0.00000,0.00000
NC_001716.2_Human_herpesvirus_7__complete_genome,153080,0,36.20843,0.00000,0.00000,0.00000,0.00000
NC_003461.1_Human_parainfluenza_virus_1__complete_genome,15600,0,37.22899,0.00000,0.00000,0.00000,0.00000
NC_001796.2_Human_parainfluenza_virus_3__complete_genome,15462,0,34.52335,0.00000,0.00000,0.00000,0.00000
NC_002645.1_Human_coronavirus_229E__complete_genome,27317,0,38.26189,0.00000,0.00000,0.00000,0.00000
NC_005831.2_Human_Coronavirus_NL63__complete_genome,27553,0,34.46022,0.00000,0.00000,0.00000,0.00000
NC_001498.1_Measles_virus__complete_genome,15894,0,47.42151,0.00000,0.00000,0.00000,0.00000
NC_001803.1_Respiratory_syncytial_virus__complete_genome,15191,0,33.20387,0.00000,0.00000,0.00000,0.00000
NC_002200.1_Mumps_virus__complete_genome,15384,0,42.46450,0.00000,0.00000,0.00000,0.00000
NC_001348.1_Human_herpesvirus_3__complete_genome,124884,0,46.01473,0.00000,0.00000,0.00000,0.00000
NC_001798.2_Human_herpesvirus_2_strain_HG52__complete_genome,154675,0,70.38906,0.00000,0.00000,0.00000,0.00000
NC_006577.2_Human_coronavirus_HKU1__complete_genome,29926,0,32.05908,0.00000,0.00000,0.00000,0.00000
NC_001806.2_Human_herpesvirus_1_strain_17__complete_genome,152222,0,68.37303,0.00000,0.00000,0.00000,0.00000
NC_001897.1_Human_parechovirus__genome,7348,0,39.47368,0.00000,0.00000,0.00000,0.00000
NC_001612.1_Human_enterovirus_A__complete_genome,7413,0,47.94280,0.00000,0.00000,0.00000,0.00000
NC_004718.3_SARS_coronavirus_Tor2__complete_genome,29751,0,40.76166,0.00000,0.00000,0.00000,0.00000
NC_012042.1_Human_bocavirus_2c_PK_isolate_PK_5510__complete_genome,5196,0,41.57044,0.00000,0.00000,0.00000,0.00000
NC_019843.3_Middle_East_respiratory_syndrome_related_coronavirus_isolate_HCoV_EMC_2012__complete_genome,30119,0,41.23352,0.00000,0.00000,0.00000,0.00000
NC_021928.1_Human_parainfluenza_virus_4a_viral_cRNA__complete_genome__strain_M_25,17052,0,36.22227,0.00000,0.00000,0.00000,0.00000
NC_007605.1_Human_gammaherpesvirus_4__complete_genome,171823,0,59.66369,0.00000,0.00000,0.00000,0.00000
NC_039199.1_Human_metapneumovirus_isolate_00_1__complete_genome,13350,0,36.27436,0.00000,0.00000,0.00000,0.00000
NC_038311.1_Human_rhinovirus_1_strain_ATCC_VR_1559__complete_genome,7137,0,37.43870,0.00000,0.00000,0.00000,0.00000
NC_006213.1_Human_coronavirus_OC43_strain_ATCC_VR_759__complete_genome,30741,0,36.77959,0.00000,0.00000,0.00000,0.00000
NC_045512.2_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_Wuhan_Hu_1__complete_genome,29903,0,37.97278,0.00000,0.00000,0.00000,0.00000
NC_002204.1_Influenza_B_virus_RNA_1__complete_sequence,14452,0,40.15372,0.00000,0.00000,0.00000,0.00000
NC_005222.1_Hantaan_virus_segment_L__complete_genome,11845,0,38.54791,0.00000,0.00000,0.00000,0.00000
NC_006307.2_Influenza_C_virus__C_Ann_Arbor_1_50_,12906,0,37.26891,0.00000,0.00000,0.00000,0.00000
NC_007373.1_Influenza_A_virus__A_New_York_392_2004_H3N2__,13627,0,42.89704,0.00000,0.00000,0.00000,0.00000
NC_002023.1_Influenza_A_virus__A_Puerto_Rico_8_1934_H1N1__,13588,0,43.42338,0.00000,0.00000,0.00000,0.00000
CR382121.1_Kluyveromyces_lactis_strain_NRRL_Y_1140_chromosome_A_complete_sequence,1062590,0,39.13229,0.00000,0.00000,0.00000,0.00000
CR382122.1_Kluyveromyces_lactis_strain_NRRL_Y_1140_chromosome_B_complete_sequence,1320834,0,39.01836,0.00000,0.00000,0.00000,0.00000
CR382123.1_Kluyveromyces_lactis_strain_NRRL_Y_1140_chromosome_C_complete_sequence,1753957,0,38.38714,0.00000,0.00000,0.00000,0.00000
CR382124.1_Kluyveromyces_lactis_strain_NRRL_Y_1140_chromosome_D_complete_sequence,1715506,21,38.94123,12.24126,2.52705,1.47306,317.11465
CR382125.1_Kluyveromyces_lactis_strain_NRRL_Y_1140_chromosome_E_complete_sequence,2234072,3,38.87351,1.34284,0.36101,0.16159,34.78682
CR382126.1_Kluyveromyces_lactis_strain_NRRL_Y_1140_chromosome_F_complete_sequence,2602197,0,38.50411,0.00000,0.00000,0.00000,0.00000
FM992695.1_Candida_dubliniensis_CD36_chromosome_R__complete_sequence,2267510,2,33.62343,0.88202,0.24067,0.10614,22.84920
FM992688.1_Candida_dubliniensis_CD36_chromosome_1__complete_sequence,3214061,1,32.95642,0.31113,0.12034,0.03744,8.06002
