species,chr_length,read_count,gc_ref,reads_per_million_ref_bases,reads_per_million_reads_in_experiment,RPMM,bacteria_per_human_cell
1_AE004091_2_Pseudomonas_aeruginosa_PAO1__complete_genome_BAC,6264404,2136157,66.57459,340999.45725,217359.72120,34697.58792,8547613.88513
1_AJ938182_1_Staphylococcus_aureus_RF122_complete_genome_BAC,2742531,891471,32.77394,325054.23824,90709.57238,33075.12992,8147925.34452
1_AE017262_2_Listeria_monocytogenes_str__4b_F2365__complete_genome_BAC,2905187,891945,38.03631,307017.78541,90757.80316,31239.91951,7695817.19198
1_CP011051_1_Bacillus_intestinalis_strain_T30__complete_genome_BAC,4031727,1148301,43.89011,284815.94750,116842.71578,28980.80676,7139298.01284
1_AE006468_2_Salmonella_enterica_subsp__enterica_serovar_Typhimurium_str__LT2__complete_genome_BAC,4857450,1340201,52.21415,275906.28828,136369.05701,28074.20954,6915965.32059
1_U00096_3_Escherichia_coli_str__K_12_substr__MG1655__complete_genome_BAC,4641652,1273806,50.77395,274429.56707,129613.18715,27923.93187,6878949.30071
1_AP008937_1_Lactobacillus_fermentum_IFO_3956_DNA__complete_genome_BAC,2098685,529734,51.46345,252412.94528,53901.85953,25683.63688,6327072.81488
1_AE016830_1_Enterococcus_faecalis_V583_chromosome__complete_genome_BAC,3218031,770310,37.52399,239373.15687,78381.11470,24356.85828,6000212.83283
CP003834.1____Cryptococcus_neoformans_var._grubii_H99___1_to_24919__reverse_complement_,24919,5751,34.97812,230778.49117,585.17972,23483.05431,5784775.88039
CP011563.1_Saccharomyces_cerevisiae_strain_ySR127_mitochondrion__complete_sequence,85731,8886,17.07633,103650.99732,904.17440,10546.68028,2598152.82704
1_CP014787_1_Lactobacillus_oris_strain_J_1_chromosome__complete_genome_BAC,3171194,138720,51.36217,43743.83118,14115.13317,4451.04714,1096498.45721
1_FR821777_2_Staphylococcus_argenteus_MSHR1132_complete_genome_sequence_BAC,2762785,63249,32.38331,22893.24521,6435.75590,2329.44509,573850.24072
1_CP025712_1_Escherichia_phage_YDC107_1_chromosome__complete_genome_BAC,46701,852,49.86803,18244.11135,86.69329,1856.33048,457313.39500
1_CU928158_2_Escherichia_fergusonii_ATCC_35469_chromosome__complete_genome_BAC,4588711,40241,49.92349,8769.56705,4094.63000,892.32693,219821.09196
CP011558.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XII__complete_sequence,1062294,8991,38.40912,8463.79049,914.85844,861.21020,212156.38787
BK006945.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_XII__complete_sequence,1078177,9110,38.47117,8449.42403,926.96701,859.75434,211796.27304
CP003831.1____Cryptococcus_neoformans_var._grubii_H99___1_to_774062__reverse_complement_,774062,6463,48.22766,8349.48195,657.62764,849.57981,209291.08933
CP003821.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1621675__reverse_complement_,1621675,13226,48.23745,8155.73973,1345.78108,829.87083,204434.67768
CP003822.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1575141__reverse_complement_,1575141,11800,48.13672,7491.39759,1200.68174,762.26947,187782.04099
1_AL592022_1_Listeria_innocua_Clip11262_complete_genome_BAC,3011208,22478,37.43309,7464.77330,2287.19697,759.56125,187114.66698
