species	chr_length	gc_ref	SRR11207337_metagenome_mock_dna_R1
1_AE004091_2_Pseudomonas_aeruginosa_PAO1__complete_genome_BAC	6264404.0	66.57	292127.1
1_CP011051_1_Bacillus_intestinalis_strain_T30__complete_genome_BAC	4031727.0	43.89	263675.64
1_U00096_3_Escherichia_coli_str__K_12_substr__MG1655__complete_genome_BAC	4641652.0	50.77	221368.05
1_AE006468_2_Salmonella_enterica_subsp__enterica_serovar_Typhimurium_str__LT2__complete_genome_BAC	4857450.0	52.21	201277.83
1_AE017262_2_Listeria_monocytogenes_str__4b_F2365__complete_genome_BAC	2905187.0	38.04	278106.77
1_AE016830_1_Enterococcus_faecalis_V583_chromosome__complete_genome_BAC	3218031.0	37.52	196175.92
1_AJ938182_1_Staphylococcus_aureus_RF122_complete_genome_BAC	2742531.0	32.77	208104.93
1_AP008937_1_Lactobacillus_fermentum_IFO_3956_DNA__complete_genome_BAC	2098685.0	51.46	90353.46
CP011550.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_IV__complete_sequence	1531682.0	37.9	9332.24
1_CP014787_1_Lactobacillus_oris_strain_J_1_chromosome__complete_genome_BAC	3171194.0	51.36	3341.65
CP011553.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_VII__complete_sequence	1084888.0	38.08	9473.77
CP011561.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XV__complete_sequence	1089058.0	38.16	9391.59
CP011558.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XII__complete_sequence	1062294.0	38.41	9362.79
CP011562.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XVI__complete_sequence	948057.0	38.06	9502.56
CP011559.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XIII__complete_sequence	922588.0	38.21	9539.45
CP011557.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XI__complete_sequence	666444.0	38.06	12644.8
CP011548.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_II__complete_sequence	808595.0	38.33	9787.29
CP003828.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1186808_reverse_complement_	1186808.0	48.24	6310.19
CP003822.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1575141_reverse_complement_	1575141.0	48.14	4612.29
CP011560.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XIV__complete_sequence	784302.0	38.64	9250.29
CP003821.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1621675_reverse_complement_	1621675.0	48.24	4339.33
CP011556.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_X__complete_sequence	745071.0	38.37	9337.38
CP003824.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1814975_reverse_complement_	1814975.0	48.3	3581.86
CP003831.1_Cryptococcus_neoformans_var._grubii_H99_1_to_774062_reverse_complement_	774062.0	48.23	7067.93
CP011551.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_V__complete_sequence	552153.0	38.49	9419.54
CP003830.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1561994_reverse_complement_	1561994.0	48.01	3311.8
CP011554.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_VIII__complete_sequence	562640.0	38.49	9119.51
CP003825.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1422463_reverse_complement_	1422463.0	48.3	3375.84
CP003827.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1398693_reverse_complement_	1398693.0	48.29	3334.55
CP011555.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_IX__complete_sequence	434899.0	38.93	9156.13
CP011549.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_III__complete_sequence	313668.0	38.58	8856.44
CP011552.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_VI__complete_sequence	270121.0	38.72	8285.21
CP011547.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_I__complete_sequence	224154.0	39.31	7450.37
1_CP025712_1_Escherichia_phage_YDC107_1_chromosome__complete_genome_BAC	46701.0	49.87	5888.65
