species	read_count_below_10	RPMM_below_300
1_CP017184_1_Enterobacter_roggenkampii_strain_DSM_16690_chromosome__complete_genome_BAC	yes	yes
1_CP000304_1_Pseudomonas_stutzeri_A1501__complete_genome_BAC	yes	yes
1_CP000270_1_Paraburkholderia_xenovorans_LB400_chromosome_1__complete_sequence_BAC	yes	yes
1_CP003959_1_Serratia_marcescens_WW4__complete_genome_BAC	yes	yes
1_CP002727_1_Pseudomonas_fulva_12_X__complete_genome_BAC	yes	yes
1_CP003470_1_Rhodanobacter_denitrificans_strain_2APBS1__complete_genome_BAC	yes	yes
1_CP000563_1_Shewanella_baltica_OS155__complete_genome_BAC	yes	yes
1_CP000542_1_Verminephrobacter_eiseniae_EF01_2__complete_genome_BAC	yes	yes
1_CP009747_1_Pseudomonas_parafulva_strain_CRS01_1__complete_genome_BAC	yes	yes
1_CP023501_1_Weissella_paramesenteroides_strain_FDAARGOS_414_chromosome__complete_genome_BAC	yes	yes
1_AP013036_1_Enterococcus_mundtii_QU_25_DNA__complete_genome_BAC	yes	yes
1_CP022823_1_Klebsiella_quasivariicola_strain_KPN1705_chromosome__complete_genome_BAC	yes	yes
1_CP014947_1_Pseudomonas_koreensis_strain_D26__complete_genome_BAC	yes	yes
1_CP017713_1_Lactobacillus_coryniformis_subsp__coryniformis_KCTC_3167___DSM_20001_chromosome__complete_genome_BAC	yes	yes
1_AP007281_1_Lactobacillus_reuteri_JCM_1112_DNA__complete_genome_BAC	yes	yes
1_CP012033_1_Lactobacillus_koreensis_strain_26_25__complete_genome_BAC	yes	yes
1_CP003403_1_Rahnella_aquatilis_HX2__complete_genome_BAC	yes	yes
1_CP012159_1_Chondromyces_crocatus_strain_Cm_c5__complete_genome_BAC	yes	yes
1_CP014784_1_Pseudomonas_alcaligenes_strain_NEB_585__complete_genome_BAC	yes	yes
1_CP008714_1_Xanthomonas_translucens_pv__undulosa_strain_Xtu_4699__complete_genome_BAC	yes	yes
1_CP007511_1_Pseudomonas_balearica_DSM_6083__complete_genome_BAC	yes	yes
1_CP017786_1_Bacillus_xiamenensis_strain_VV3_chromosome__complete_genome_BAC	yes	yes
1_CP012264_1_Cronobacter_condimenti_1330_strain_LMG_26250__complete_genome_BAC	yes	yes
1_CP017420_1_Delftia_tsuruhatensis_strain_CM13__complete_genome_BAC	yes	yes
1_CP003056_1_Bacillus_coagulans_36D1__complete_genome_BAC	yes	yes
1_CP010518_4_Pandoraea_apista_strain_TF81F4__complete_genome_BAC	yes	yes
CP027652.1_Torulaspora_delbrueckii_strain_COFT1_chromosome_6__complete_sequence	yes	yes
1_CP011507_1_Pseudomonas_trivialis_strain_IHBB745__complete_genome_BAC	yes	yes
1_CP024610_1_Lactobacillus_terrae_strain_NIBRBAC000499792_chromosome__complete_genome_BAC	yes	yes
1_CP006731_1_Cronobacter_malonaticus_strain_CMCC45402_chromosome__complete_genome_BAC	yes	yes
1_CP002160_1_Clostridium_cellulovorans_743B__complete_genome_BAC	yes	yes
1_CP000555_1_Methylibium_petroleiphilum_PM1__complete_genome_BAC	yes	yes
1_CP017183_1_Enterobacter_xiangfangensis_strain_LMG27195__complete_genome_BAC	yes	yes
