species	SRR11207337_metagenome_mock_dna_R1
1_AE004091_2_Pseudomonas_aeruginosa_PAO1__complete_genome_BAC	86020205.48
1_CP011051_1_Bacillus_intestinalis_strain_T30__complete_genome_BAC	77741327.64
1_U00096_3_Escherichia_coli_str__K_12_substr__MG1655__complete_genome_BAC	65268886.39
1_AE006468_2_Salmonella_enterica_subsp__enterica_serovar_Typhimurium_str__LT2__complete_genome_BAC	59347822.16
1_AE017262_2_Listeria_monocytogenes_str__4b_F2365__complete_genome_BAC	81998255.29
1_AE016830_1_Enterococcus_faecalis_V583_chromosome__complete_genome_BAC	57844128.35
1_AJ938182_1_Staphylococcus_aureus_RF122_complete_genome_BAC	61358403.72
1_AP008937_1_Lactobacillus_fermentum_IFO_3956_DNA__complete_genome_BAC	26640564.86
1_CP014787_1_Lactobacillus_oris_strain_J_1_chromosome__complete_genome_BAC	985304.62
1_CP010359_1_Pseudomonas_plecoglossicida_strain_NyZ12__complete_genome_BAC	457005.42
CP003828.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1186808__reverse_complement_	1843032.7
CP003822.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1575141__reverse_complement_	1342237.69
CP003821.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1621675__reverse_complement_	1266083.85
CP011563.1_Saccharomyces_cerevisiae_strain_ySR127_mitochondrion__complete_sequence	22924578.13
CP003824.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1814975__reverse_complement_	1029391.86
CP003831.1____Cryptococcus_neoformans_var._grubii_H99___1_to_774062__reverse_complement_	1979461.04
CP003830.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1561994__reverse_complement_	954894.29
CP003825.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1422463__reverse_complement_	987624.17
1_FR821777_2_Staphylococcus_argenteus_MSHR1132_complete_genome_sequence_BAC	492273.0
CP003827.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1398693__reverse_complement_	969417.39
1_CU928158_2_Escherichia_fergusonii_ATCC_35469_chromosome__complete_genome_BAC	221086.86
CP003826.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1399503__reverse_complement_	614725.53
CP003834.1____Cryptococcus_neoformans_var._grubii_H99___1_to_24919__reverse_complement_	31849006.11
1_CP007025_1_Escherichia_albertii_KF1__complete_genome_BAC	163846.34
1_FR877557_1_Salmonella_bongori_NCTC_12419__culture_collection_SGSC_SARC11__complete_genome_BAC	153954.64
1_CP007557_1_Citrobacter_freundii_CFNIH1__complete_genome_BAC	134143.39
1_AL592022_1_Listeria_innocua_Clip11262_complete_genome_BAC	219612.52
1_CP025979_1_Escherichia_marmotae_strain_HT073016_chromosome__complete_genome_BAC	111081.55
1_CP000416_1_Lactobacillus_brevis_ATCC_367__complete_genome_BAC	167280.54
1_CP000783_1_Cronobacter_sakazakii_ATCC_BAA_894__complete_genome_BAC	86996.62
CP003832.1____Cryptococcus_neoformans_var._grubii_H99___1_to_756744__reverse_complement_	430121.6
1_CP014158_1_Pseudomonas_citronellolis_strain_P3B5__complete_genome_BAC	45296.57
1_AP009484_1_Macrococcus_caseolyticus_JCSC5402_DNA__complete_genome_BAC	80216.94
1_FN543502_1_Citrobacter_rodentium_ICC168__complete_genome_BAC	28398.38
CP003820.1____Cryptococcus_neoformans_var._grubii_H99___1_to_2291499__reverse_complement_	64845.45
1_HG916765_1_Castellaniella_defragrans_65Phen_complete_genome_BAC	36174.59
1_CP022114_1_Kluyvera_georgiana_strain_YDC799_chromosome__complete_genome_BAC	28504.36
1_CP006704_1_Comamonas_testosteroni_TK102__complete_genome_BAC	17117.7
1_CP012873_1_Weissella_cibaria_strain_CH2__complete_genome_BAC	35016.63
1_CP025712_1_Escherichia_phage_YDC107_1_chromosome__complete_genome_BAC	1723513.28
1_AM263198_1_Listeria_welshimeri_serovar_6b_str__SLCC5334_complete_genome_BAC	27448.97
1_AP018335_1_Ureibacillus_thermosphaericus_DNA__complete_geonome__strain__A1_BAC	21469.09
1_CP020618_1_Staphylococcus_hominis_subsp__hominis_strain_K1_chromosome__complete_genome_BAC	32447.43
1_CP013614_1_Enterococcus_silesiacus_strain_LMG_23085__complete_genome_BAC	18088.35
1_CP019597_1_Staphylococcus_cohnii_strain_SNUDS_2_chromosome__complete_genome_BAC	26565.4
BK006939.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_V__complete_sequence	111415.96
CP003823.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1084805__reverse_complement_	57617.58
1_CP002439_1_Staphylococcus_pseudintermedius_HKU10_03__complete_genome_BAC	21739.99
CP003829.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1059964__reverse_complement_	53682.99
