species,chr_length,read_count,gc_ref,reads_per_million_ref_bases,reads_per_million_reads_in_experiment,RPMM,bacteria_per_human_cell
1_AE004091_2_Pseudomonas_aeruginosa_PAO1__complete_genome_BAC,6264404,2137014,66.57459,341136.26205,217968.34839,34794.74653,1202794.78446
1_AJ938182_1_Staphylococcus_aureus_RF122_complete_genome_BAC,2742531,891428,32.77394,325038.55929,90922.70283,33152.84678,1146036.72300
1_AE017262_2_Listeria_monocytogenes_str__4b_F2365__complete_genome_BAC,2905187,891983,38.03631,307030.86545,90979.31099,31316.16412,1082544.32235
1_CP011051_1_Bacillus_intestinalis_strain_T30__complete_genome_BAC,4031727,1148355,43.89011,284829.34125,117128.40567,29051.67018,1004265.11112
1_AE006468_2_Salmonella_enterica_subsp__enterica_serovar_Typhimurium_str__LT2__complete_genome_BAC,4857450,1340104,52.21415,275886.31895,136686.16843,28139.48796,972733.36919
1_U00096_3_Escherichia_coli_str__K_12_substr__MG1655__complete_genome_BAC,4641652,1273976,50.77395,274466.19198,129941.33151,27994.63038,967726.21660
1_AP008937_1_Lactobacillus_fermentum_IFO_3956_DNA__complete_genome_BAC,2098685,529609,51.46345,252353.38403,54018.36348,25739.14962,889759.80544
1_AE016830_1_Enterococcus_faecalis_V583_chromosome__complete_genome_BAC,3218031,770307,37.52399,239372.22462,78568.76209,24415.16497,843990.20376
1_CP014787_1_Lactobacillus_oris_strain_J_1_chromosome__complete_genome_BAC,3171194,138866,51.36217,43789.87068,14163.87196,4466.41568,154396.45070
1_FR821777_2_Staphylococcus_argenteus_MSHR1132_complete_genome_sequence_BAC,2762785,63278,32.38331,22903.74188,6454.14637,2336.10133,80755.12441
1_CP025712_1_Escherichia_phage_YDC107_1_chromosome__complete_genome_BAC,46701,838,49.86803,17944.32548,85.47322,1830.21382,63268.97343
CP011558.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XII__complete_sequence,1062294,18071,38.41422,17011.36225,1843.18213,1735.09528,59979.48639
CP011557.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XI__complete_sequence,666444,9538,38.06441,14311.86603,972.84440,1459.75347,50461.47167
CP011555.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_IX__complete_sequence,434899,5007,38.93419,11512.99149,510.69741,1174.29084,40593.06401
CP011553.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_VII__complete_sequence,1084888,12233,38.08078,11275.79755,1247.72547,1150.09637,39756.75408
CP011548.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_II__complete_sequence,808595,9072,38.33098,11219.39154,925.31395,1144.34776,39557.87505
CP011556.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_X__complete_sequence,745071,8323,38.37000,11170.76248,848.91843,1139.38000,39386.41635
CP011562.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XVI__complete_sequence,948057,10374,38.06290,10942.34542,1058.11363,1116.08632,38581.05240
CP011551.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_V__complete_sequence,552153,6008,38.49314,10881.10115,612.79610,1109.83035,38365.11438
CP011561.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XV__complete_sequence,1089058,11800,38.16087,10835.03205,1203.56091,1105.13899,38202.68170
CP011560.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XIV__complete_sequence,784302,8427,38.63678,10744.61303,859.52608,1095.91143,37883.87795
CP011554.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_VIII__complete_sequence,562640,6041,38.49318,10736.88326,616.16199,1095.12605,37856.62396
CP011550.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_IV__complete_sequence,1531682,16412,37.90469,10715.03186,1673.96963,1092.89617,37779.57922
CP011559.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XIII__complete_sequence,922588,9821,38.21164,10645.03192,1001.70946,1085.76085,37532.77004
CP011549.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_III__complete_sequence,313668,3172,38.58296,10112.53866,323.53349,1031.45079,35655.27944
CP011552.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_VI__complete_sequence,270121,2696,38.72302,9980.74930,274.98307,1018.00002,35190.61013
CP011547.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_I__complete_sequence,224154,2211,39.30958,9863.93040,225.51468,1006.07009,34778.72441
CP003831.1_Cryptococcus_neoformans_var._grubii_H99_1_to_774062_reverse_complement_,774062,6835,48.22766,8830.06485,697.14736,900.63499,31133.47109
1_CU928158_2_Escherichia_fergusonii_ATCC_35469_chromosome__complete_genome_BAC,4588711,40076,49.92349,8733.60923,4087.61923,890.79909,30793.38316
