species,chr_length,read_count,gc_ref,reads_per_million_ref_bases,reads_per_million_reads_in_experiment,RPMM,bacteria_per_human_cell
1_1_1_10,133797422,68,41.54154,0.50823,6.93577,0.05184,1.79195
1_1_1_11,135086622,100,41.53981,0.74027,10.19967,0.07550,2.61006
1_1_1_12,133275309,92,40.76639,0.69030,9.38370,0.07041,2.43389
1_1_1_13,114364328,43,38.55031,0.37599,4.38586,0.03835,1.32569
1_1_1_14,107043718,48,40.83421,0.44841,4.89584,0.04574,1.58104
1_1_1_15,101991189,57,42.03484,0.55887,5.81381,0.05700,1.97050
1_1_1_16,90338345,50,44.58444,0.55347,5.09983,0.05645,1.95147
1_1_1_17,83257441,55,45.31519,0.66060,5.60982,0.06738,2.32918
1_1_1_18,80373285,41,39.77558,0.51012,4.18186,0.05203,1.79861
1_1_1_19,58617616,70,47.93865,1.19418,7.13977,0.12180,4.21050
1_1_1_1,248956422,154,41.72429,0.61858,15.70749,0.06309,2.18103
1_1_1_20,64444167,41,43.80472,0.63621,4.18186,0.06489,2.24318
1_1_1_21,46709983,8,40.93836,0.17127,0.81597,0.01747,0.60387
1_1_1_22,50818468,20,47.00445,0.39356,2.03993,0.04014,1.38762
1_1_1_2,242193529,81,40.22856,0.33444,8.26173,0.03411,1.17920
1_1_1_3,198295559,181,39.66567,0.91278,18.46140,0.09310,3.21832
1_1_1_4,190214555,129,38.24347,0.67818,13.15757,0.06917,2.39117
1_1_1_5,181538259,71,39.50632,0.39110,7.24176,0.03989,1.37897
1_1_1_6,170805979,114,39.60525,0.66742,11.62762,0.06808,2.35324
1_1_1_7,159345973,125,40.69748,0.78446,12.74959,0.08001,2.76588
1_1_1_8,145138636,97,40.15660,0.66833,9.89368,0.06817,2.35642
1_1_1_9,138394717,22,41.27617,0.15897,2.24393,0.01621,0.56049
1_1_1_MT,16569,0,44.36263,0.00000,0.00000,0.00000,0.00000
1_1_1_X,156040895,72,39.52503,0.46142,7.34376,0.04706,1.62689
1_1_1_Y,57227415,17,39.18845,0.29706,1.73394,0.03030,1.04739
1_AE000511_1_Helicobacter_pylori_26695__complete_genome_BAC,1667867,0,38.86883,0.00000,0.00000,0.00000,0.00000
1_AE000512_1_Thermotoga_maritima_MSB8__complete_genome_BAC,1860725,0,46.23660,0.00000,0.00000,0.00000,0.00000
1_AE000513_1_Deinococcus_radiodurans_R1_chromosome_1__complete_sequence_BAC,2648638,0,67.01972,0.00000,0.00000,0.00000,0.00000
1_AE000516_2_Mycobacterium_tuberculosis_CDC1551__complete_genome_BAC,4403837,0,65.61994,0.00000,0.00000,0.00000,0.00000
1_AE000520_1_Treponema_pallidum_subsp__pallidum_str__Nichols_complete_genome_BAC,1138011,0,52.76700,0.00000,0.00000,0.00000,0.00000
1_AE000657_1_Aquifex_aeolicus_VF5__complete_genome_BAC,1551335,0,43.47169,0.00000,0.00000,0.00000,0.00000
