species,chr_length,read_count,gc_ref,reads_per_million_ref_bases,reads_per_million_reads_in_experiment,RPMM,bacteria_per_human_cell
1_AE004091_2_Pseudomonas_aeruginosa_PAO1__complete_genome_BAC,6264404,1885365,66.57459,300964.97669,223867.22553,35736.38139,7796617.35168
1_AE017262_2_Listeria_monocytogenes_str__4b_F2365__complete_genome_BAC,2905187,873316,38.03631,300605.46814,103697.07188,35693.75945,7787304.13982
1_CP011051_1_Bacillus_intestinalis_strain_T30__complete_genome_BAC,4031727,1136519,43.89011,281893.62879,134949.65447,33471.91131,7302566.50356
1_U00096_3_Escherichia_coli_str__K_12_substr__MG1655__complete_genome_BAC,4641652,1203358,50.77395,259252.20557,142886.08136,30783.44216,6716031.43542
1_AP008937_1_Lactobacillus_fermentum_IFO_3956_DNA__complete_genome_BAC,2098685,492331,51.46345,234590.79040,58459.11800,27855.11049,6077167.67274
1_AJ938182_1_Staphylococcus_aureus_RF122_complete_genome_BAC,2742531,619742,32.77394,225974.55634,73587.83158,26832.07300,5853960.70452
1_AE006468_2_Salmonella_enterica_subsp__enterica_serovar_Typhimurium_str__LT2__complete_genome_BAC,4857450,1058699,52.21415,217953.65881,125709.34955,25879.68903,5646176.16584
1_AE016830_1_Enterococcus_faecalis_V583_chromosome__complete_genome_BAC,3218031,646698,37.52399,200960.83629,76788.57251,23861.96840,5205970.34387
CP003834.1____Cryptococcus_neoformans_var._grubii_H99___1_to_24919__reverse_complement_,24919,2893,34.97812,116091.49278,343.51326,13785.38073,3007396.26554
CP011563.1_Saccharomyces_cerevisiae_strain_ySR127_mitochondrion__complete_sequence,85731,6941,17.07633,80963.49003,824.17060,9613.44026,2097391.39129
1_CP014787_1_Lactobacillus_oris_strain_J_1_chromosome__complete_genome_BAC,3171194,117586,51.36217,37079.45598,13962.09836,4402.78772,960558.04578
CP011558.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XII__complete_sequence,1062294,8039,38.40912,7567.61336,954.54653,898.57071,196042.03223
BK006945.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_XII__complete_sequence,1078177,8118,38.47117,7529.35502,963.92695,894.03416,195050.93474
CP003831.1____Cryptococcus_neoformans_var._grubii_H99___1_to_774062__reverse_complement_,774062,5378,48.22766,6947.78183,638.58083,824.97316,179985.04987
1_FR821777_2_Staphylococcus_argenteus_MSHR1132_complete_genome_sequence_BAC,2762785,19087,32.38331,6908.62103,2266.38011,820.32420,178970.57380
1_CP025712_1_Escherichia_phage_YDC107_1_chromosome__complete_genome_BAC,46701,320,49.86803,6852.24839,37.99663,813.60759,177510.21834
CP003828.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1186808__reverse_complement_,1186808,7633,48.24411,6431.52653,906.33831,763.67726,166611.25120
CP011557.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XI__complete_sequence,666444,4277,38.05829,6417.68201,507.84868,762.02727,166252.60348
BK006944.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_XI__complete_sequence,666816,4270,38.06317,6403.52719,507.01750,760.35607,165885.91716
BK006943.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_X__complete_sequence,745751,4075,38.36660,5464.29769,483.86331,648.82646,141554.80358
BK006936.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_II__complete_sequence,813184,4266,38.33578,5246.07098,506.54254,622.91195,135901.55401
CP011555.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_IX__complete_sequence,434899,2271,38.93097,5221.89009,269.65732,620.04625,135275.13842
CP011549.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_III__complete_sequence,313668,1626,38.57721,5183.79188,193.07037,615.52439,134288.18924
1_CU928158_2_Escherichia_fergusonii_ATCC_35469_chromosome__complete_genome_BAC,4588711,23511,49.92349,5123.66221,2791.68349,608.38054,132730.50604
CP011548.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_II__complete_sequence,808595,4115,38.32570,5089.04279,488.61289,604.27353,131833.67632
CP011553.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_VII__complete_sequence,1084888,5505,38.07599,5074.24716,653.66074,602.51447,131450.38961
BK006941.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_VII__complete_sequence,1090940,5487,38.05647,5029.60749,651.52343,597.21279,130293.98136
CP011551.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_V__complete_sequence,552153,2760,38.48451,4998.64167,327.72091,593.53307,129491.79946
BK006948.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_XV__complete_sequence,1091291,5454,38.14283,4997.75495,647.60503,593.42984,129468.82855
BK006949.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_XVI__complete_sequence,948066,4730,38.06195,4989.08308,561.63765,592.40296,129244.18041
CP003821.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1621675__reverse_complement_,1621675,8057,48.23745,4968.30447,956.68384,589.93530,128705.90226
CP011562.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XVI__complete_sequence,948057,4688,38.06041,4944.83472,556.65060,587.14861,128097.90881
CP011559.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XIII__complete_sequence,922588,4562,38.20461,4944.77504,541.68943,587.14132,128096.36279
BK006939.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_V__complete_sequence,576874,2839,38.50064,4921.38610,337.10133,584.35838,127490.46314
CP011556.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_X__complete_sequence,745071,3664,38.36338,4917.65874,435.06139,583.91927,127393.90447
BK006938.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_IV__complete_sequence,1531933,7485,37.90017,4885.99349,888.76487,580.15880,126573.60337
BK006946.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_XIII__complete_sequence,924431,4501,38.19666,4868.94627,534.44632,578.13491,126131.98847
CP011560.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XIV__complete_sequence,784302,3804,38.63006,4850.18488,451.68491,575.90640,125645.96717
CP011550.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_IV__complete_sequence,1531682,7422,37.89844,4845.65967,881.28429,575.37025,125528.73979
CP011554.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_VIII__complete_sequence,562640,2715,38.48676,4825.46566,322.37764,572.97338,125005.60604
