species,chr_length,read_count,gc_ref,reads_per_million_ref_bases,reads_per_million_reads_in_experiment,RPMM,bacteria_per_human_cell
1_AE004091_2_Pseudomonas_aeruginosa_PAO1__complete_genome_BAC,6264404,1827726,66.57459,291763.93589,253345.19854,40442.05276,86020205.47812
1_AE017262_2_Listeria_monocytogenes_str__4b_F2365__complete_genome_BAC,2905187,807998,38.03631,278122.25706,111998.41428,38551.21503,81998255.29352
1_CP011051_1_Bacillus_intestinalis_strain_T30__complete_genome_BAC,4031727,1063101,43.89011,263683.58000,147358.81304,36549.82492,77741327.63744
1_U00096_3_Escherichia_coli_str__K_12_substr__MG1655__complete_genome_BAC,4641652,1027566,50.77395,221379.46635,142433.22702,30685.90462,65268886.38985
1_AJ938182_1_Staphylococcus_aureus_RF122_complete_genome_BAC,2742531,570764,32.77394,208115.86382,79114.87767,28847.41545,61358403.71864
1_AE006468_2_Salmonella_enterica_subsp__enterica_serovar_Typhimurium_str__LT2__complete_genome_BAC,4857450,977787,52.21415,201296.35920,135533.24823,27902.15681,59347822.16154
1_AE016830_1_Enterococcus_faecalis_V583_chromosome__complete_genome_BAC,3218031,631365,37.52399,196196.11999,87514.91814,27195.19470,57844128.34871
CP003834.1____Cryptococcus_neoformans_var._grubii_H99___1_to_24919__reverse_complement_,24919,2692,34.97812,108025.68218,373.14416,14974.68988,31849006.11481
1_AP008937_1_Lactobacillus_fermentum_IFO_3956_DNA__complete_genome_BAC,2098685,189636,51.46345,90359.65464,26285.87112,12524.93283,26640564.86390
CP011563.1_Saccharomyces_cerevisiae_strain_ySR127_mitochondrion__complete_sequence,85731,6666,17.07633,77755.74478,923.98920,10777.86221,22924578.12734
CP003831.1____Cryptococcus_neoformans_var._grubii_H99___1_to_774062__reverse_complement_,774062,5197,48.22766,6713.94982,720.36782,930.63318,1979461.03784
CP003828.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1186808__reverse_complement_,1186808,7419,48.24411,6251.21123,1028.36422,866.49607,1843032.69990
1_CP025712_1_Escherichia_phage_YDC107_1_chromosome__complete_genome_BAC,46701,273,49.86803,5845.82441,37.84114,810.28137,1723513.27623
CP003822.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1575141__reverse_complement_,1575141,7171,48.13672,4552.61120,993.98839,631.04780,1342237.68741
CP003821.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1621675__reverse_complement_,1621675,6964,48.23745,4294.31207,965.29565,595.24624,1266083.84838
CP003824.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1814975__reverse_complement_,1814975,6337,48.30161,3491.49853,878.38578,483.96619,1029391.86080
CP003825.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1422463__reverse_complement_,1422463,4765,48.29710,3349.83058,660.48733,464.32675,987624.16786
1_CP014787_1_Lactobacillus_oris_strain_J_1_chromosome__complete_genome_BAC,3171194,10598,51.36217,3341.96311,1469.01254,463.23676,985304.61856
CP003827.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1398693__reverse_complement_,1398693,4599,48.29080,3288.07670,637.47770,455.76710,969417.39056
CP003830.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1561994__reverse_complement_,1561994,5059,48.00605,3238.81715,701.23933,448.93866,954894.29113
CP003826.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1399503__reverse_complement_,1399503,2918,48.15551,2085.03037,404.47052,289.01018,614725.53191
1_FR821777_2_Staphylococcus_argenteus_MSHR1132_complete_genome_sequence_BAC,2762785,4613,32.38331,1669.69502,639.41827,231.43990,492273.00159
1_CP010359_1_Pseudomonas_plecoglossicida_strain_NyZ12__complete_genome_BAC,6233254,9662,62.40273,1550.07420,1339.27148,214.85922,457005.42353
CP003832.1____Cryptococcus_neoformans_var._grubii_H99___1_to_756744__reverse_complement_,756744,1104,48.28428,1458.88945,153.02792,202.21891,430121.59677
1_CU928158_2_Escherichia_fergusonii_ATCC_35469_chromosome__complete_genome_BAC,4588711,3441,49.92349,749.88395,476.96472,103.94313,221086.85790
1_AL592022_1_Listeria_innocua_Clip11262_complete_genome_BAC,3011208,2243,37.43309,744.88329,310.90726,103.25005,219612.52042
1_CP000416_1_Lactobacillus_brevis_ATCC_367__complete_genome_BAC,2291220,1300,46.21231,567.38332,180.19591,78.64632,167280.54216
1_CP007025_1_Escherichia_albertii_KF1__complete_genome_BAC,4701875,2613,49.68321,555.73515,362.19379,77.03181,163846.33654
1_FR877557_1_Salmonella_bongori_NCTC_12419__culture_collection_SGSC_SARC11__complete_genome_BAC,4460105,2329,51.32243,522.18443,322.82791,72.38128,153954.64099
1_CP007557_1_Citrobacter_freundii_CFNIH1__complete_genome_BAC,5099034,2320,52.23701,454.98850,321.58040,63.06696,134143.39217
BK006939.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_V__complete_sequence,576874,218,38.50064,377.90143,30.21747,52.38143,111415.95986
1_CP025979_1_Escherichia_marmotae_strain_HT073016_chromosome__complete_genome_BAC,4671322,1760,50.64028,376.76717,243.95755,52.22454,111081.54603
1_CP000783_1_Cronobacter_sakazakii_ATCC_BAA_894__complete_genome_BAC,4368373,1289,56.76348,295.07574,178.67118,40.90111,86996.61768
1_AP009484_1_Macrococcus_caseolyticus_JCSC5402_DNA__complete_genome_BAC,2102324,572,36.86687,272.08037,79.28620,37.71363,80216.93675
CP003820.1____Cryptococcus_neoformans_var._grubii_H99___1_to_2291499__reverse_complement_,2291499,504,48.22905,219.94327,69.86057,30.48686,64845.45494
CP003823.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1084805__reverse_complement_,1084805,212,48.22771,195.42773,29.38580,27.08857,57617.58498
CP003829.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1059964__reverse_complement_,1059964,193,48.41855,182.08234,26.75216,25.23875,53682.99028
BK006943.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_X__complete_sequence,745751,127,38.36660,170.29836,17.60375,23.60542,50208.74032
BK006937.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_III__complete_sequence,316620,53,38.52659,167.39309,7.34645,23.20277,49352.18574
CP003833.2____Cryptococcus_neoformans_var._grubii_H99___1_to_942867__reverse_complement_,942867,153,48.07594,162.27051,21.20767,22.49276,47841.90670
1_CP014158_1_Pseudomonas_citronellolis_strain_P3B5__complete_genome_BAC,6951444,1068,67.12874,153.63723,148.03787,21.29600,45296.57247
CP011555.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_IX__complete_sequence,434899,63,38.93097,144.86089,8.73257,20.07955,42709.05955
BK006941.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_VII__complete_sequence,1090940,135,38.05647,123.74649,18.71265,17.15279,36483.94307
1_HG916765_1_Castellaniella_defragrans_65Phen_complete_genome_BAC,3952818,485,68.96798,122.69721,67.22694,17.00735,36174.58579
1_CP012873_1_Weissella_cibaria_strain_CH2__complete_genome_BAC,2466961,293,45.08129,118.76966,40.61339,16.46293,35016.63258
CP011551.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_V__complete_sequence,552153,63,38.48451,114.09943,8.73257,15.81552,33639.71747
1_CP020618_1_Staphylococcus_hominis_subsp__hominis_strain_K1_chromosome__complete_genome_BAC,2253412,248,31.35331,110.05543,34.37584,15.25502,32447.43194
BK006936.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_II__complete_sequence,813184,84,38.33578,103.29816,11.64343,14.31832,30455.20057
CP011547.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_I__complete_sequence,224154,23,39.30431,102.60986,3.18808,14.22273,30252.26942
CP011556.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_X__complete_sequence,745071,73,38.36338,97.97737,10.11869,13.58086,28886.48174
1_CP022114_1_Kluyvera_georgiana_strain_YDC799_chromosome__complete_genome_BAC,5006140,484,55.00419,96.68128,67.08833,13.40121,28504.35627
1_FN543502_1_Citrobacter_rodentium_ICC168__complete_genome_BAC,5346659,515,54.71536,96.32182,71.38530,13.35139,28398.37750
BK006944.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_XI__complete_sequence,666816,64,38.06317,95.97793,8.87118,13.30382,28296.98884
CP011549.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_III__complete_sequence,313668,30,38.57721,95.64192,4.15837,13.25721,28197.92411
1_AM263198_1_Listeria_welshimeri_serovar_6b_str__SLCC5334_complete_genome_BAC,2814130,262,36.34450,93.10160,36.31641,12.90503,27448.96680
