species,chr_length,read_count,gc_ref,reads_per_million_ref_bases,reads_per_million_reads_in_experiment,RPMM,bacteria_per_human_cell
1_AE004091_2_Pseudomonas_aeruginosa_PAO1__complete_genome_BAC,6264404,1885232,66.57459,300943.74561,224112.48706,35775.53039,1180025.39400
1_AE017262_2_Listeria_monocytogenes_str__4b_F2365__complete_genome_BAC,2905187,873265,38.03631,300587.91336,103811.93986,35733.28390,1178630.14621
1_CP011051_1_Bacillus_intestinalis_strain_T30__complete_genome_BAC,4031727,1136463,43.89011,281879.73897,135100.37458,33509.29357,1105273.84235
1_U00096_3_Escherichia_coli_str__K_12_substr__MG1655__complete_genome_BAC,4641652,1203387,50.77395,259258.45335,143056.16150,30820.08065,1016573.90468
1_AP008937_1_Lactobacillus_fermentum_IFO_3956_DNA__complete_genome_BAC,2098685,492322,51.46345,234586.50199,58526.22269,27887.07232,919833.13652
1_AJ938182_1_Staphylococcus_aureus_RF122_complete_genome_BAC,2742531,619706,32.77394,225961.42977,73669.36955,26861.81061,886013.51279
1_AE006468_2_Salmonella_enterica_subsp__enterica_serovar_Typhimurium_str__LT2__complete_genome_BAC,4857450,1058652,52.21415,217943.98295,125850.36359,25908.71847,854576.43865
1_AE016830_1_Enterococcus_faecalis_V583_chromosome__complete_genome_BAC,3218031,646627,37.52399,200938.77310,76869.68244,23887.16538,787897.59999
1_CP014787_1_Lactobacillus_oris_strain_J_1_chromosome__complete_genome_BAC,3171194,117518,51.36217,37058.01292,13970.29716,4405.37321,145307.54315
CP011558.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XII__complete_sequence,1062294,16005,38.41422,15066.50726,1902.64135,1791.06783,59077.02495
CP011557.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XI__complete_sequence,666444,8501,38.06441,12755.83698,1010.58132,1516.37853,50016.69509
CP011548.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_II__complete_sequence,808595,8307,38.33098,10273.31190,987.51901,1221.27641,40282.50826
CP011556.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_X__complete_sequence,745071,7533,38.37000,10110.45942,895.50748,1201.90889,39643.95019
CP011555.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_IX__complete_sequence,434899,4389,38.93419,10091.97517,521.75526,1199.71463,39571.47190
CP011553.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_VII__complete_sequence,1084888,10833,38.08078,9985.34414,1287.80467,1187.03889,39153.36278
CP011562.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XVI__complete_sequence,948057,9395,38.06290,9909.71036,1116.85820,1178.04904,38856.79645
CP011561.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XV__complete_sequence,1089058,10658,38.16087,9786.42132,1267.00103,1163.39106,38373.36991
CP011559.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XIII__complete_sequence,922588,9027,38.21164,9784.41128,1073.11112,1163.15328,38365.48837
CP011551.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_V__complete_sequence,552153,5393,38.49314,9767.27339,641.10870,1161.10586,38298.28928
CP011550.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_IV__complete_sequence,1531682,14945,37.90469,9757.26000,1776.63074,1159.92084,38259.02597
CP011554.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_VIII__complete_sequence,562640,5480,38.49318,9739.79809,651.45108,1157.84759,38190.55638
CP011560.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XIV__complete_sequence,784302,7567,38.63678,9648.09384,899.54933,1146.94265,37830.97640
CP011549.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_III__complete_sequence,313668,2908,38.58296,9270.88979,345.69703,1102.11213,36351.92801
