species,chr_length,read_count,gc_ref,reads_per_million_ref_bases,reads_per_million_reads_in_experiment,RPMM,bacteria_per_human_cell
1_1_1_10,133797422,0,41.53751,0.00000,0.00000,0.00000,0.00000
1_1_1_11,135086622,0,41.52663,0.00000,0.00000,0.00000,0.00000
1_1_1_12,133275309,0,40.75789,0.00000,0.00000,0.00000,0.00000
1_1_1_13,114364328,1,38.54485,0.00874,0.13861,0.00121,2.57797
1_1_1_14,107043718,1,40.82884,0.00934,0.13861,0.00129,2.75428
1_1_1_15,101991189,0,42.02830,0.00000,0.00000,0.00000,0.00000
1_1_1_16,90338345,0,44.58132,0.00000,0.00000,0.00000,0.00000
1_1_1_17,83257441,0,45.30630,0.00000,0.00000,0.00000,0.00000
1_1_1_18,80373285,0,39.76964,0.00000,0.00000,0.00000,0.00000
1_1_1_19,58617616,0,47.93585,0.00000,0.00000,0.00000,0.00000
1_1_1_1,248956422,9,41.72050,0.03615,1.24751,0.00501,10.65830
1_1_1_20,64444167,0,43.79825,0.00000,0.00000,0.00000,0.00000
1_1_1_21,46709983,0,40.92864,0.00000,0.00000,0.00000,0.00000
1_1_1_22,50818468,0,46.99934,0.00000,0.00000,0.00000,0.00000
1_1_1_2,242193529,0,40.22359,0.00000,0.00000,0.00000,0.00000
1_1_1_3,198295559,3,39.66121,0.01513,0.41584,0.00210,4.46043
1_1_1_4,190214555,2,38.24011,0.01051,0.27722,0.00146,3.09995
1_1_1_5,181538259,4,39.50169,0.02203,0.55445,0.00305,6.49622
1_1_1_6,170805979,1,39.59925,0.00585,0.13861,0.00081,1.72610
1_1_1_7,159345973,0,40.69323,0.00000,0.00000,0.00000,0.00000
1_1_1_8,145138636,0,40.15246,0.00000,0.00000,0.00000,0.00000
1_1_1_9,138394717,0,41.27240,0.00000,0.00000,0.00000,0.00000
1_1_1_MT,16569,0,44.39004,0.00000,0.00000,0.00000,0.00000
1_1_1_X,156040895,0,39.50993,0.00000,0.00000,0.00000,0.00000
1_1_1_Y,57227415,0,39.18185,0.00000,0.00000,0.00000,0.00000
NC_006273.2_Human_herpesvirus_5_strain_Merlin__complete_genome,235646,0,57.48423,0.00000,0.00000,0.00000,0.00000
NC_001664.4_Human_betaherpesvirus_6A__variant_A_DNA__complete_virion_genome__isolate_U1102,159378,0,42.42759,0.00000,0.00000,0.00000,0.00000
NC_000898.1_Human_herpesvirus_6B__complete_genome,162114,0,42.76491,0.00000,0.00000,0.00000,0.00000
NC_001716.2_Human_herpesvirus_7__complete_genome,153080,0,36.20843,0.00000,0.00000,0.00000,0.00000
NC_003461.1_Human_parainfluenza_virus_1__complete_genome,15600,0,37.22899,0.00000,0.00000,0.00000,0.00000
NC_001796.2_Human_parainfluenza_virus_3__complete_genome,15462,0,34.52335,0.00000,0.00000,0.00000,0.00000
NC_002645.1_Human_coronavirus_229E__complete_genome,27317,0,38.26189,0.00000,0.00000,0.00000,0.00000
NC_005831.2_Human_Coronavirus_NL63__complete_genome,27553,0,34.46022,0.00000,0.00000,0.00000,0.00000
NC_001498.1_Measles_virus__complete_genome,15894,0,47.42151,0.00000,0.00000,0.00000,0.00000
NC_001803.1_Respiratory_syncytial_virus__complete_genome,15191,0,33.20387,0.00000,0.00000,0.00000,0.00000
NC_002200.1_Mumps_virus__complete_genome,15384,0,42.46450,0.00000,0.00000,0.00000,0.00000
NC_001348.1_Human_herpesvirus_3__complete_genome,124884,0,46.01473,0.00000,0.00000,0.00000,0.00000
NC_001798.2_Human_herpesvirus_2_strain_HG52__complete_genome,154675,0,70.38906,0.00000,0.00000,0.00000,0.00000
NC_006577.2_Human_coronavirus_HKU1__complete_genome,29926,0,32.05908,0.00000,0.00000,0.00000,0.00000
NC_001806.2_Human_herpesvirus_1_strain_17__complete_genome,152222,0,68.37303,0.00000,0.00000,0.00000,0.00000
NC_001897.1_Human_parechovirus__genome,7348,0,39.47368,0.00000,0.00000,0.00000,0.00000
NC_001612.1_Human_enterovirus_A__complete_genome,7413,0,47.94280,0.00000,0.00000,0.00000,0.00000
NC_004718.3_SARS_coronavirus_Tor2__complete_genome,29751,0,40.76166,0.00000,0.00000,0.00000,0.00000
NC_012042.1_Human_bocavirus_2c_PK_isolate_PK_5510__complete_genome,5196,0,41.57044,0.00000,0.00000,0.00000,0.00000
NC_019843.3_Middle_East_respiratory_syndrome_related_coronavirus_isolate_HCoV_EMC_2012__complete_genome,30119,0,41.23352,0.00000,0.00000,0.00000,0.00000
NC_021928.1_Human_parainfluenza_virus_4a_viral_cRNA__complete_genome__strain_M_25,17052,0,36.22227,0.00000,0.00000,0.00000,0.00000
NC_007605.1_Human_gammaherpesvirus_4__complete_genome,171823,0,59.66369,0.00000,0.00000,0.00000,0.00000
NC_039199.1_Human_metapneumovirus_isolate_00_1__complete_genome,13350,0,36.27436,0.00000,0.00000,0.00000,0.00000
NC_038311.1_Human_rhinovirus_1_strain_ATCC_VR_1559__complete_genome,7137,0,37.43870,0.00000,0.00000,0.00000,0.00000
NC_006213.1_Human_coronavirus_OC43_strain_ATCC_VR_759__complete_genome,30741,0,36.77959,0.00000,0.00000,0.00000,0.00000
NC_045512.2_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_Wuhan_Hu_1__complete_genome,29903,0,37.97278,0.00000,0.00000,0.00000,0.00000
NC_002204.1_Influenza_B_virus_RNA_1__complete_sequence,14452,0,40.15372,0.00000,0.00000,0.00000,0.00000
NC_005222.1_Hantaan_virus_segment_L__complete_genome,11845,0,38.54791,0.00000,0.00000,0.00000,0.00000
NC_006307.2_Influenza_C_virus__C_Ann_Arbor_1_50_,12906,0,37.26891,0.00000,0.00000,0.00000,0.00000
NC_007373.1_Influenza_A_virus__A_New_York_392_2004_H3N2__,13627,0,42.89704,0.00000,0.00000,0.00000,0.00000
NC_002023.1_Influenza_A_virus__A_Puerto_Rico_8_1934_H1N1__,13588,0,43.42338,0.00000,0.00000,0.00000,0.00000
CR382121.1_Kluyveromyces_lactis_strain_NRRL_Y_1140_chromosome_A_complete_sequence,1062590,0,39.13229,0.00000,0.00000,0.00000,0.00000
CR382122.1_Kluyveromyces_lactis_strain_NRRL_Y_1140_chromosome_B_complete_sequence,1320834,0,39.01836,0.00000,0.00000,0.00000,0.00000
CR382123.1_Kluyveromyces_lactis_strain_NRRL_Y_1140_chromosome_C_complete_sequence,1753957,0,38.38714,0.00000,0.00000,0.00000,0.00000
CR382124.1_Kluyveromyces_lactis_strain_NRRL_Y_1140_chromosome_D_complete_sequence,1715506,0,38.94123,0.00000,0.00000,0.00000,0.00000
CR382125.1_Kluyveromyces_lactis_strain_NRRL_Y_1140_chromosome_E_complete_sequence,2234072,0,38.87351,0.00000,0.00000,0.00000,0.00000
CR382126.1_Kluyveromyces_lactis_strain_NRRL_Y_1140_chromosome_F_complete_sequence,2602197,0,38.50411,0.00000,0.00000,0.00000,0.00000
FM992695.1_Candida_dubliniensis_CD36_chromosome_R__complete_sequence,2267510,0,33.62343,0.00000,0.00000,0.00000,0.00000
FM992688.1_Candida_dubliniensis_CD36_chromosome_1__complete_sequence,3214061,0,32.95642,0.00000,0.00000,0.00000,0.00000
FM992689.1_Candida_dubliniensis_CD36_chromosome_2__complete_sequence,2289089,0,33.28337,0.00000,0.00000,0.00000,0.00000
FM992690.1_Candida_dubliniensis_CD36_chromosome_3__complete_sequence,1863824,0,33.22440,0.00000,0.00000,0.00000,0.00000
FM992691.1_Candida_dubliniensis_CD36_chromosome_4__complete_sequence,1641709,0,33.11270,0.00000,0.00000,0.00000,0.00000
FM992692.1_Candida_dubliniensis_CD36_chromosome_5__complete_sequence,1245899,0,33.08474,0.00000,0.00000,0.00000,0.00000
FM992693.1_Candida_dubliniensis_CD36_chromosome_6__complete_sequence,1073895,0,33.16998,0.00000,0.00000,0.00000,0.00000
FM992694.1_Candida_dubliniensis_CD36_chromosome_7__complete_sequence,1022435,0,33.73476,0.00000,0.00000,0.00000,0.00000
AE016814.2_Ashbya_gossypii_ATCC_10895_chromosome_I__complete_sequence,693414,0,51.88472,0.00000,0.00000,0.00000,0.00000
AE016815.5_Ashbya_gossypii_ATCC_10895_chromosome_II__complete_sequence,870771,0,51.41412,0.00000,0.00000,0.00000,0.00000
AE016816.3_Ashbya_gossypii_ATCC_10895_chromosome_III__complete_sequence,907494,0,53.03705,0.00000,0.00000,0.00000,0.00000
AE016817.6_Ashbya_gossypii_ATCC_10895_chromosome_IV__complete_sequence,1467287,0,52.26538,0.00000,0.00000,0.00000,0.00000
AE016818.2_Ashbya_gossypii_ATCC_10895_chromosome_V__complete_sequence,1519140,0,51.38056,0.00000,0.00000,0.00000,0.00000
AE016819.5_Ashbya_gossypii_ATCC_10895_chromosome_VI__complete_sequence,1836693,0,51.80976,0.00000,0.00000,0.00000,0.00000
AE016820.4_Ashbya_gossypii_ATCC_10895_chromosome_VII__complete_sequence,1800949,0,51.18603,0.00000,0.00000,0.00000,0.00000
AE016821.1_Ashbya_gossypii____Eremothecium_gossypii__ATCC_10895_mitochondrion__complete_genome,23564,0,18.81260,0.00000,0.00000,0.00000,0.00000
CP009805.1_Botrytis_cinerea_B05.10_chromosome_BCIN01__complete_sequence,4109373,0,42.62087,0.00000,0.00000,0.00000,0.00000
CP009806.1_Botrytis_cinerea_B05.10_chromosome_BCIN02__complete_sequence,3341473,0,42.43420,0.00000,0.00000,0.00000,0.00000
CP009807.1_Botrytis_cinerea_B05.10_chromosome_BCIN03__complete_sequence,3226611,0,42.94681,0.00000,0.00000,0.00000,0.00000
CP009808.1_Botrytis_cinerea_B05.10_chromosome_BCIN04__complete_sequence,2468882,0,42.28173,0.00000,0.00000,0.00000,0.00000
CP009809.1_Botrytis_cinerea_B05.10_chromosome_BCIN05__complete_sequence,2959378,0,42.94172,0.00000,0.00000,0.00000,0.00000
CP009810.1_Botrytis_cinerea_B05.10_chromosome_BCIN06__complete_sequence,2725906,0,41.79309,0.00000,0.00000,0.00000,0.00000
CP009811.1_Botrytis_cinerea_B05.10_chromosome_BCIN07__complete_sequence,2652353,0,41.95791,0.00000,0.00000,0.00000,0.00000
CP009812.1_Botrytis_cinerea_B05.10_chromosome_BCIN08__complete_sequence,2617329,0,42.06575,0.00000,0.00000,0.00000,0.00000
CP009813.1_Botrytis_cinerea_B05.10_chromosome_BCIN09__complete_sequence,2547566,0,41.93384,0.00000,0.00000,0.00000,0.00000
CP009814.1_Botrytis_cinerea_B05.10_chromosome_BCIN10__complete_sequence,2419276,0,42.26719,0.00000,0.00000,0.00000,0.00000
CP009815.1_Botrytis_cinerea_B05.10_chromosome_BCIN11__complete_sequence,2359939,0,41.64312,0.00000,0.00000,0.00000,0.00000
CP009816.1_Botrytis_cinerea_B05.10_chromosome_BCIN12__complete_sequence,2352958,0,41.93078,0.00000,0.00000,0.00000,0.00000
CP009817.1_Botrytis_cinerea_B05.10_chromosome_BCIN13__complete_sequence,2257609,0,41.50403,0.00000,0.00000,0.00000,0.00000
CP009818.1_Botrytis_cinerea_B05.10_chromosome_BCIN14__complete_sequence,2138025,0,41.94758,0.00000,0.00000,0.00000,0.00000
CP009819.1_Botrytis_cinerea_B05.10_chromosome_BCIN15__complete_sequence,2027721,0,41.58037,0.00000,0.00000,0.00000,0.00000
CP009820.1_Botrytis_cinerea_B05.10_chromosome_BCIN16__complete_sequence,1969743,0,41.29516,0.00000,0.00000,0.00000,0.00000
CP009821.1_Botrytis_cinerea_B05.10_chromosome_BCIN17__complete_sequence,247158,0,27.26997,0.00000,0.00000,0.00000,0.00000
CP009822.1_Botrytis_cinerea_B05.10_chromosome_BCIN18__complete_sequence,208766,0,28.04787,0.00000,0.00000,0.00000,0.00000
BK006935.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_I__complete_sequence,230218,12,39.26500,52.12406,1.66335,7.22509,15367.63593
BK006936.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_II__complete_sequence,813184,84,38.33578,103.29816,11.64343,14.31832,30455.20057
BK006937.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_III__complete_sequence,316620,53,38.52659,167.39309,7.34645,23.20277,49352.18574
BK006938.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_IV__complete_sequence,1531933,26,37.90017,16.97205,3.60392,2.35253,5003.83861
BK006939.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_V__complete_sequence,576874,218,38.50064,377.90143,30.21747,52.38143,111415.95986
BK006940.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_VI__complete_sequence,270161,16,38.72112,59.22416,2.21780,8.20917,17460.94730
