species,chr_length,read_count,gc_ref,reads_per_million_ref_bases,reads_per_million_reads_in_experiment,RPMM,bacteria_per_human_cell
1_AE017262_2_Listeria_monocytogenes_str__4b_F2365__complete_genome_BAC,2905187,862968,38.03631,297043.56686,103970.92080,35788.05058,1171409.27988
1_AE004091_2_Pseudomonas_aeruginosa_PAO1__complete_genome_BAC,6264404,1855009,66.57459,296119.18141,223492.63683,35676.61183,1167763.90991
1_CP011051_1_Bacillus_intestinalis_strain_T30__complete_genome_BAC,4031727,1122545,43.89011,278427.62288,135244.91903,33545.17495,1097996.17836
1_U00096_3_Escherichia_coli_str__K_12_substr__MG1655__complete_genome_BAC,4641652,1188356,50.77395,256020.16524,143173.86920,30845.46277,1009631.01330
1_AP008937_1_Lactobacillus_fermentum_IFO_3956_DNA__complete_genome_BAC,2098685,483465,51.46345,230366.23020,58248.16357,27754.60740,908463.16816
1_AJ938182_1_Staphylococcus_aureus_RF122_complete_genome_BAC,2742531,612708,32.77394,223409.77127,73819.44051,26916.54311,881029.95143
1_AE006468_2_Salmonella_enterica_subsp__enterica_serovar_Typhimurium_str__LT2__complete_genome_BAC,4857450,1046396,52.21415,215420.84839,126070.44020,25954.04549,849525.15064
1_AE016830_1_Enterococcus_faecalis_V583_chromosome__complete_genome_BAC,3218031,639642,37.52399,198768.19048,77064.46557,23947.71385,783854.38652
1_CP014787_1_Lactobacillus_oris_strain_J_1_chromosome__complete_genome_BAC,3171194,116076,51.36217,36603.29403,13984.90860,4409.98298,144347.30486
CP011558.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XII__complete_sequence,1062294,15800,38.41422,14873.52794,1903.59382,1791.96632,58654.65744
CP011557.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XI__complete_sequence,666444,8467,38.06441,12704.81964,1020.10942,1530.67681,50102.22501
CP011548.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_II__complete_sequence,808595,8277,38.33098,10236.21073,997.21810,1233.27289,40367.11642
CP011556.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_X__complete_sequence,745071,7503,38.37000,10070.19475,903.96610,1213.26294,39712.42233
CP011555.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_IX__complete_sequence,434899,4362,38.93419,10029.89193,525.53647,1208.41067,39553.48573
CP011553.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_VII__complete_sequence,1084888,10776,38.08078,9932.80425,1298.29918,1196.71370,39170.61458
CP011562.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XVI__complete_sequence,948057,9365,38.06290,9878.06679,1128.30102,1190.11915,38954.75410
CP011561.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XV__complete_sequence,1089058,10621,38.16087,9752.44706,1279.62468,1174.98296,38459.36511
CP011559.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XIII__complete_sequence,922588,8997,38.21164,9751.89412,1083.96415,1174.91734,38457.18456
CP011550.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_IV__complete_sequence,1531682,14884,37.90469,9717.43445,1793.23357,1170.76179,38321.29076
CP011551.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_V__complete_sequence,552153,5358,38.49314,9703.88481,645.53517,1169.12362,38267.85694
CP011554.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_VIII__complete_sequence,562640,5442,38.49318,9672.25935,655.65554,1165.32047,38143.14001
CP011560.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XIV__complete_sequence,784302,7530,38.63678,9600.91802,907.21908,1156.72289,37861.80114
CP011549.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_III__complete_sequence,313668,2898,38.58296,9239.00915,349.15284,1113.12978,36434.59163
CP011552.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_VI__complete_sequence,270121,2414,38.72302,8936.76884,290.84022,1076.70281,35242.68869
CP011547.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_I__complete_sequence,224154,1810,39.30958,8074.94981,218.06992,972.85676,31844.05319
CP003831.1_Cryptococcus_neoformans_var._grubii_H99_1_to_774062_reverse_complement_,774062,5589,48.22766,7220.37051,673.36619,869.91306,28473.96802
1_FR821777_2_Staphylococcus_argenteus_MSHR1132_complete_genome_sequence_BAC,2762785,18799,32.38331,6804.37820,2264.91520,819.79438,26833.47716
1_CP025712_1_Escherichia_phage_YDC107_1_chromosome__complete_genome_BAC,46701,305,49.86803,6531.04925,36.74659,786.85310,25755.58791
CP003828.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1186808_reverse_complement_,1186808,7660,48.24411,6454.27659,922.88156,777.61682,25452.83028
1_CU928158_2_Escherichia_fergusonii_ATCC_35469_chromosome__complete_genome_BAC,4588711,23307,49.92349,5079.20527,2808.04184,611.94590,20030.15331
CP003821.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1621675_reverse_complement_,1621675,8053,48.23745,4965.83790,970.23044,598.28946,19583.08223
CP003822.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1575141_reverse_complement_,1575141,7480,48.13672,4748.78424,901.19505,572.13620,18727.11798
CP003824.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1814975_reverse_complement_,1814975,6837,48.30161,3766.98366,823.72601,453.84996,14855.32799
CP003830.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1561994_reverse_complement_,1561994,5570,48.00605,3565.96393,671.07706,429.62848,14062.59454
CP003827.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1398693_reverse_complement_,1398693,4893,48.29080,3498.27338,589.51168,421.47353,13795.65277
