species,chr_length,read_count,gc_ref,reads_per_million_ref_bases,reads_per_million_reads_in_experiment,RPMM,bacteria_per_human_cell
1_AE017262_2_Listeria_monocytogenes_str__4b_F2365__complete_genome_BAC,2905187,863018,38.03631,297060.77744,103851.82351,35747.04379,7695477.51804
1_AE004091_2_Pseudomonas_aeruginosa_PAO1__complete_genome_BAC,6264404,1855142,66.57459,296140.41249,223239.70017,35636.23092,7671635.09826
1_CP011051_1_Bacillus_intestinalis_strain_T30__complete_genome_BAC,4031727,1122602,43.89011,278441.76073,135089.03032,33506.49669,7213144.48948
1_U00096_3_Escherichia_coli_str__K_12_substr__MG1655__complete_genome_BAC,4641652,1188331,50.77395,256014.77923,142998.57162,30807.69376,6632164.61908
1_AP008937_1_Lactobacillus_fermentum_IFO_3956_DNA__complete_genome_BAC,2098685,483480,51.46345,230373.37755,58179.87531,27722.06378,5967913.91648
1_AJ938182_1_Staphylococcus_aureus_RF122_complete_genome_BAC,2742531,612745,32.77394,223423.26246,73735.06183,26885.77085,5787868.42249
1_AE006468_2_Salmonella_enterica_subsp__enterica_serovar_Typhimurium_str__LT2__complete_genome_BAC,4857450,1046444,52.21415,215430.73012,125924.50864,25923.99910,5580818.69511
1_AE016830_1_Enterococcus_faecalis_V583_chromosome__complete_genome_BAC,3218031,639710,37.52399,198789.32142,76979.91237,23921.43929,5149716.38799
CP003834.1____Cryptococcus_neoformans_var._grubii_H99___1_to_24919__reverse_complement_,24919,2834,34.97812,113723.91653,341.03120,13685.53216,2946063.26185
CP011563.1_Saccharomyces_cerevisiae_strain_ySR127_mitochondrion__complete_sequence,85731,6867,17.07633,80100.31494,826.34484,9638.84171,2075030.49762
1_CP014787_1_Lactobacillus_oris_strain_J_1_chromosome__complete_genome_BAC,3171194,116139,51.36217,36623.16039,13975.66091,4407.06715,948737.52725
CP011558.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XII__complete_sequence,1062294,7968,38.40912,7500.77662,958.83438,902.60723,194310.59993
BK006945.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_XII__complete_sequence,1078177,8070,38.47117,7484.83556,971.10862,900.69477,193897.64023
CP003831.1____Cryptococcus_neoformans_var._grubii_H99___1_to_774062__reverse_complement_,774062,5361,48.22766,6925.81970,645.11937,833.42143,179416.11237
1_FR821777_2_Staphylococcus_argenteus_MSHR1132_complete_genome_sequence_BAC,2762785,18802,32.38331,6805.46406,2262.55071,818.93846,176298.25162
1_CP025712_1_Escherichia_phage_YDC107_1_chromosome__complete_genome_BAC,46701,316,49.86803,6766.59529,38.02606,814.24412,175291.34061
CP011557.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XI__complete_sequence,666444,4267,38.05829,6402.67691,513.47218,770.46555,165863.89035
CP003828.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1186808__reverse_complement_,1186808,7598,48.24411,6402.03571,914.31019,770.39446,165847.27979
BK006944.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_XI__complete_sequence,666816,4264,38.06317,6394.52926,513.11117,769.49452,165652.82219
BK006943.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_X__complete_sequence,745751,4061,38.36660,5445.52464,488.68303,655.28960,141068.48033
BK006936.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_II__complete_sequence,813184,4254,38.33578,5231.31410,511.90781,629.51064,135519.27116
CP011555.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_IX__complete_sequence,434899,2263,38.93097,5203.49506,272.31955,626.16732,134798.60777
CP011549.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_III__complete_sequence,313668,1621,38.57721,5167.85156,195.06407,621.88053,133875.24893
1_CU928158_2_Escherichia_fergusonii_ATCC_35469_chromosome__complete_genome_BAC,4588711,23352,49.92349,5089.01194,2810.07787,612.38940,131832.87725
CP011548.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_II__complete_sequence,808595,4110,38.32570,5082.85926,494.57948,611.65265,131673.48959
CP011553.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_VII__complete_sequence,1084888,5492,38.07599,5062.26438,660.88334,609.17174,131139.97088
BK006941.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_VII__complete_sequence,1090940,5471,38.05647,5014.94124,658.35629,603.47614,129914.04630
BK006948.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_XV__complete_sequence,1091291,5445,38.14283,4989.50783,655.22756,600.41483,129255.18362
CP011551.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_V__complete_sequence,552153,2751,38.48451,4982.34175,331.04335,599.55017,129069.54359
BK006949.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_XVI__complete_sequence,948066,4722,38.06195,4980.64489,568.22489,599.35191,129025.58561
CP011562.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XVI__complete_sequence,948057,4682,38.06041,4938.50600,563.41147,594.28009,127933.96098
CP003821.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1621675__reverse_complement_,1621675,8004,48.23745,4935.62232,963.16646,593.93333,127859.25800
CP011559.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XIII__complete_sequence,922588,4550,38.20461,4931.76817,547.52716,593.46871,127759.41488
CP011556.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_X__complete_sequence,745071,3657,38.36338,4908.26365,440.06744,590.63798,127150.52092
BK006939.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_V__complete_sequence,576874,2826,38.50064,4898.85069,340.06852,589.50284,126906.67448
BK006938.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_IV__complete_sequence,1531933,7467,37.90017,4874.24360,898.54623,586.54413,126269.21795
BK006946.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_XIII__complete_sequence,924431,4490,38.19666,4857.04705,540.30702,584.47560,125823.73433
CP011550.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_IV__complete_sequence,1531682,7411,37.89844,4838.47801,891.80743,582.24083,125342.69612
CP011560.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XIV__complete_sequence,784302,3791,38.63006,4833.60959,456.19241,581.65404,125216.57769
CP011554.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_VIII__complete_sequence,562640,2704,38.48676,4805.91497,325.38757,578.32274,124499.13766
BK006934.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_VIII__complete_sequence,562643,2683,38.48869,4768.59093,322.86052,573.82887,123532.24347
BK006942.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_IX__complete_sequence,439888,2096,38.89898,4764.82757,252.22350,573.38101,123434.75218
CP011561.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XV__complete_sequence,1089058,5166,38.14345,4743.54030,621.65392,570.81801,122883.29700
